"Syndroms related to vision impairment",,,,,,,,
Name,,Website,,Problems,,,,Genes
"CLN4 disease",,https://ghr.nlm.nih.gov/condition/cln4-disease,,"CLN4 disease is one of a group of disorders known as neuronal ceroid lipofuscinoses (NCLs), which may also be collectively referred to as Batten disease. All these disorders affect the nervous system and typically cause worsening problems with vision",,,,"Mutations in the DNAJC5 gene cause CLN4 disease. The DNAJC5 gene provides instructions for making a protein called cysteine string protein alpha (CSPα). DNAJC5 gene mutations lead to the production of an altered CSPα protein. The altered protein cannot perform its function, which reduces protein recycling, causing a shortage (deficiency) of functional proteins needed for impulse transmission. Without normal communication between nerve cells, neurological functions are impaired, contributing to the features of CLN4 disease."
"CLN5 disease",,https://ghr.nlm.nih.gov/condition/cln5-disease,,"Other features of the condition include vision loss.",,,,"CLN5 disease is caused by mutations in the CLN5 gene, which provides instructions for making a protein whose function is not well understood."
"CLN6 disease",,https://ghr.nlm.nih.gov/condition/cln6-disease,,"Affected individuals can also develop vision loss.",,,,"Mutations in the CLN6 gene cause CLN6 disease. Most CLN6 gene mutations result in the production of an abnormal CLN6 protein that is quickly broken down (degraded). As a result, there is a severe reduction in the amount of functional CLN6 protein in cells. While it is not known how the loss of this protein causes the signs and symptoms of CLN6 disease, it is likely that the protein's quick degradation contributes to the childhood onset of CLN6 disease."
"CLN7 disease",,https://ghr.nlm.nih.gov/condition/cln7-disease,,"Affected children also develop vision loss. ",,,,"Mutations in the MFSD8 gene cause CLN7 disease. MFSD8 gene mutations likely lead to the production of a protein with altered structure or function. It is unclear how an altered MFSD8 protein leads to the severe neurological features of CLN7 disease. "
"CLN8 disease",,https://ghr.nlm.nih.gov/condition/cln8-disease,,"Vision problems may occur in early to mid-adulthood. I",,,,"Mutations in the CLN8 gene cause CLN8 disease. Some CLN8 gene mutations are thought to drastically reduce the function of the CLN8 protein. Other mutations likely impair transport of the protein to the endoplasmic reticulum, so that it cannot perform its function. It is unclear how a loss or reduction of CLN8 protein leads to the signs and symptoms of CLN8 disease. "
"Coats plus syndrome",,https://ghr.nlm.nih.gov/condition/coats-plus-syndrome,,"Characterized by an eye disorder. The disorder causes blood vessels in the retina to be abnormally enlarged (dilated) and twisted. The abnormal vessels leak fluid, which can eventually cause the layers of the retina to separate (retinal detachment). These eye abnormalities often result in vision loss.",,,,"Mutations in the CTC1 gene impair the function of the CST complex, which affects the replication of telomeres. However, it is unclear how CTC1 gene mutations impact telomere structure and function. Some studies have found that people with CTC1 gene mutations have abnormally short telomeres, while other studies have found no change in telomere length."
"Cockayne syndrome",,https://ghr.nlm.nih.gov/condition/cockayne-syndrome,,"Other signs and symptoms often include vision loss",,,,"mutations in either the ERCC6 gene (also known as CSB) or the ERCC8 gene (also known as CSA). These genes provide instructions for making proteins that are involved in repairing damaged DNA. The faulty DNA repair underlies photosensitivity in affected individuals, and researchers suspect that it also contributes to the other features of Cockayne syndrome. It is unclear how ERCC6 or ERCC8 gene mutations cause all of the varied features of this condition."
"COG5-congenital disorder of glycosylation",,https://ghr.nlm.nih.gov/condition/cog5-congenital-disorder-of-glycosylation,,"Less commonly, affected individuals can have hearing loss caused by vision impairment",,,,"COG5 gene mutations reduce the amount of COG5 protein or eliminate it completely, which disrupts protein transport. This disruption results in abnormal protein glycosylation, which can affect numerous body systems, leading to the signs and symptoms of COG5-CDG. The severity of COG5-CDG is related to the amount of COG5 protein that remains in cells."
"Cohen syndrome",,https://non-governmental/condition/cohen-syndrome,,"Other features common in this condition include worsening nearsightedness (myopia), breakdown (degeneration) of the light-sensitive tissue at the back of the eye (retinal dystrophy)",,,,"Most mutations in the VPS13B gene are believed to prevent the production of functional VPS13B protein. Studies suggest that a loss of this protein disrupts the organization of the Golgi apparatus and impairs normal glycosylation. However, it is not known how a lack of functional VPS13B protein or these cellular changes lead to the signs and symptoms of Cohen syndrome."
"COL4A1-related brain small-vessel disease",,https://ghr.nlm.nih.gov/condition/col4a1-related-brain-small-vessel-disease,,"Some affected people have an eye abnormality called Axenfeld-Rieger anomaly. Axenfeld-Rieger anomaly involves underdevelopment and eventual tearing of the colored part of the eye (iris) and a pupil that is not in the center of the eye. Other eye problems experienced by people with COL4A1-related brain small-vessel disease include clouding of the lens of the eye (cataract) and the presence of arteries that twist and turn abnormally within the light-sensitive tissue at the back of the eye (arterial retinal tortuosity). Axenfeld-Rieger anomaly and cataract can cause impaired vision. Arterial retinal tortuosity can cause episodes of bleeding within the eye following any minor trauma to the eye, leading to temporary vision loss.",,,,"The COL4A1 gene mutations that cause COL4A1-related brain small-vessel disease result in the production of a protein that disrupts the structure of type IV collagen. As a result, type IV collagen molecules cannot attach to each other to form the protein networks in basement membranes. Basement membranes without these networks are unstable, leading to weakening of the tissues that they surround. "
Coloboma,,https://ghr.nlm.nih.gov/condition/coloboma,,"Colobomas are missing pieces of tissue in structures that form the eye. ",,"Colobomas affecting the iris, which result in a ""keyhole"" appearance of the pupil, generally do not lead to vision loss. Colobomas involving the retina result in vision loss in specific parts of the visual field, generally the upper part. Large retinal colobomas or those affecting the optic nerve can cause low vision, which means vision loss that cannot be completely corrected with glasses or contact lenses.Some people with coloboma also have a condition called microphthalmia. In this condition, one or both eyeballs are abnormally small. In some affected individuals, the eyeball may appear to be completely missing; however, even in these cases some remaining eye tissue is generally present. Microphthalmia may or may not result in significant vision loss. People with coloboma may also have other eye abnormalities, including cataract, glaucoma that can damage the optic nerve, vision problems such as nearsightedness (myopia), nystagmus, or retinal detachment.",,"Coloboma may be caused by changes in many genes involved in the early development of the eye (GDF3, GDF6, MAF, OTX2, PAX6, SHH, VSX2) most of which have not been identified. The condition may also result from a chromosomal abnormality affecting one or more genes. Most genetic changes associated with coloboma have been identified only in very small numbers of affected individuals."
"Color vision deficiency",,https://ghr.nlm.nih.gov/condition/color-vision-deficiency,,"Red-green color vision defects are the most common form of color vision deficiency. Affected individuals have trouble distinguishing between some shades of red, yellow, and green. Blue-yellow color vision defects (also called tritan defects), which are rarer, cause problems with differentiating shades of blue and green and cause difficulty distinguishing dark blue from black. These two forms of color vision deficiency disrupt color perception but do not affect the sharpness of vision (visual acuity). A less common and more severe form of color vision deficiency called blue cone monochromacy causes very poor visual acuity and severely reduced color vision. Affected individuals have additional vision problems, which can include increased sensitivity to light (photophobia), involuntary back-and-forth eye movements (nystagmus), and nearsightedness (myopia). Blue cone monochromacy is sometimes considered to be a form of achromatopsia, a disorder characterized by a partial or total lack of color vision with other vision problems.",,,,"Genetic changes involving the OPN1LW or OPN1MW gene cause red-green color vision defects. These changes lead to an absence of L or M cones or to the production of abnormal opsin pigments in these cones that affect red-green color vision. Blue-yellow color vision defects result from mutations in the OPN1SW gene. These mutations lead to the premature destruction of S cones or the production of defective S cones. Impaired S cone function alters perception of the color blue, making it difficult or impossible to detect differences between shades of blue and green and causing problems with distinguishing dark blue from black."
"Complete LCAT deficiency",,https://ghr.nlm.nih.gov/condition/complete-lcat-deficiency,,"the clear front surface of the eyes (the corneas) gradually becomes cloudy. The cloudiness, which generally first appears in early childhood, consists of small grayish dots of cholesterol (opacities) distributed across the corneas. Cholesterol is a waxy, fat-like substance that is produced in the body and obtained from foods that come from animals; it aids in many functions of the body but can become harmful in excessive amounts. As complete LCAT deficiency progresses, the corneal cloudiness worsens and can lead to severely impaired vision.",,,,"LCAT gene mutations that cause complete LCAT deficiency either prevent the production of LCAT or impair both alpha-LCAT and beta-LCAT activity, reducing the enzyme's ability to attach cholesterol to lipoproteins. Impairment of this mechanism for reducing cholesterol in the body leads to cholesterol deposits in the corneas,"
"Cone-rod dystrophy",,https://ghr.nlm.nih.gov/condition/cone-rod-dystrophy,,"A group of related eye disorders that causes vision loss, which becomes more severe over time. These disorders affect the retina, In people with cone-rod dystrophy, vision loss occurs as the light-sensing cells of the retina gradually deteriorate. The first signs and symptoms of cone-rod dystrophy, which often occur in childhood, are usually decreased sharpness of vision (visual acuity) and increased sensitivity to light (photophobia). These features are typically followed by impaired color vision (dyschromatopsia), blind spots (scotomas) in the center of the visual field, and partial side (peripheral) vision loss. Over time, affected individuals develop night blindness and a worsening of their peripheral vision, which can limit independent mobility. Decreasing visual acuity makes reading increasingly difficult and most affected individuals are legally blind by mid-adulthood. As the condition progresses, individuals may develop involuntary eye movements (nystagmus).",,,,"Mutations in more than 30 genes (ABCA4, ADAM9, AIPL1, C8orf37, C21orf2, CACNA1F, CACNA2D4, CDHR1, CERKL, CNGA3, CNGB3, CNNM4, CRB1, CRX, EYS, GUCA1A, GUCY2D, KCNV2, PDE6C , PITPNM3, POC1B, PROM1, PRPH2, RAB28, RAX2, RIMS1, RPGR, RPGRIP1, SEMA4A, TTLL5, TULP1, UNC119) are known to cause cone-rod dystrophy. Approximately 20 of these genes are associated with the form of cone-rod dystrophy that is inherited in an autosomal recessive pattern. Mutations in the ABCA4 gene are the most common cause of autosomal recessive cone-rod dystrophy, accounting for 30 to 60 percent of cases. At least 10 genes have been associated with cone-rod dystrophy that is inherited in an autosomal dominant pattern. Mutations in the GUCY2D and CRX genes account for about half of these cases. Changes in at least two genes cause the X-linked form of the disorder, which is rare. Mutations in any of the genes associated with cone-rod dystrophy lead to a gradual loss of rods and cones in the retina. The progressive degeneration of these cells causes the characteristic pattern of vision loss that occurs in people with cone-rod dystrophy. "
"Congenital cataracts, facial dysmorphism, and neuropathy",,https://ghr.nlm.nih.gov/condition/congenital-cataracts-facial-dysmorphism-and-neuropathy,,"Characterized by a clouding of the lens of the eyes at birth (congenital cataracts) and other eye abnormalities, such as small or poorly developed eyes (microphthalmia) and abnormal eye movements (nystagmus).",,,,"All known individuals with CCFDN have the same mutation in both copies of the CTDP1 gene in each cell. This mutation alters the way the gene's instructions are pieced together to produce the carboxy-terminal domain phosphatase 1 protein. The altered instructions introduce a premature stop signal, resulting in an abnormally short, nonfunctional protein that cannot regulate transcription. Defective regulation of the transcription process affects the development and function of many parts of the body. It is not known how nonfunctional carboxy-terminal domain phosphatase 1 protein results in the specific signs and symptoms of CCFDN."
"Congenital dyserythropoietic anemia",,https://ghr.nlm.nih.gov/condition/congenital-dyserythropoietic-anemia,,"In adulthood, abnormalities of a specialized tissue at the back of the eye (the retina) can cause vision impairment. ",,,,"It is unclear how CDNA1 gene mutations cause the characteristic features of CDA type I.Researchers are working to determine how mutations in the SEC23B gene lead to the signs and symptoms of CDA type II."
"Congenital fibrosis of the extraocular muscles",,https://ghr.nlm.nih.gov/condition/congenital-fibrosis-of-the-extraocular-muscles,,"A disorder that affects the muscles that surround the eyes. Congenital fibrosis of the extraocular muscles prevents the normal development and function of these muscles. As a result, affected individuals are unable to move their eyes normally. Most people with this condition have difficulty looking upward, and their side-to-side eye movement may also be limited. The eyes may be misaligned such that they look in different directions (strabismus). Additionally, many people with congenital fibrosis of the extraocular muscles have droopy eyelids (ptosis), which further limits their vision.",,,,"CFEOM1 and rare cases of CFEOM3 result from mutations in the KIF21A gene. Mutations in the KIF21A gene likely alter the protein's ability to transport materials within nerve cells, preventing the normal development of these cranial nerves and the extraocular muscles they control. Abnormal function of the extraocular muscles leads to restricted eye movement and related problems with vision. Mutations in the PHOX2A gene cause CFEOM2. Mutations likely eliminate the function of the PHOX2A protein, which prevents the normal development of these cranial nerves and the extraocular muscles they control. In most cases of CFEOM3, the genetic cause of the condition is unknown. Studies suggest that a gene associated with CFEOM3 may be located near one end of chromosome 16. The gene associated with Tukel syndrome has not been identified either, although researchers think that it may be located near one end of chromosome 21."
"Congenital hyperinsulinism",,https://ghr.nlm.nih.gov/condition/congenital-hyperinsulinism,,"Repeated episodes of low blood sugar increase the risk for serious complications such as vision loss",,,,"Mutations in at least nine genes (ABCC8, GCK, GLUD1, HADH, HNF1A, HNF4A, KCNJ11, SLC16A1, UCP )have been found to cause congenital hyperinsulinism. Mutations in the ABCC8 gene are the most common known cause of the disorder. They account for this condition in approximately 40 percent of affected individuals. Less frequently, mutations in the KCNJ11 gene have been found in people with congenital hyperinsulinism. Mutations in each of the other genes associated with this condition account for only a small percentage of cases."
"Congenital stromal corneal dystrophy",,https://ghr.nlm.nih.gov/condition/congenital-stromal-corneal-dystrophy,,"An inherited eye disorder primarily affects the cornea. In people with this condition, the cornea appears cloudy and may have an irregular surface. These corneal changes lead to visual impairment, including blurring, glare, and a loss of sharp vision (reduced visual acuity). Visual impairment is often associated with additional eye abnormalities, including ""lazy eye"" (amblyopia), eyes that do not look in the same direction (strabismus), involuntary eye movements (nystagmus), and increased sensitivity to light (photophobia).",,,,"Mutations in the DCN gene lead to the production of a defective version of decorin. This abnormal protein interferes with the organization of collagen fibrils in the cornea. As poorly arranged collagen fibrils accumulate, the cornea becomes cloudy. These corneal changes lead to reduced visual acuity and related eye abnormalities."
"Costeff syndrome",,https://ghr.nlm.nih.gov/condition/costeff-syndrome,,"Characterized by vision loss. Affected people have degeneration (atrophy) of the optic nerves, which carry information from the eyes to the brain. This optic nerve atrophy often begins in infancy or early childhood and results in vision loss that worsens over time. Some affected individuals have rapid and involuntary eye movements (nystagmus) or eyes that do not look in the same direction (strabismus).",,,,"OPA3 gene mutations that result in Costeff syndrome lead to a loss of OPA3 protein function. Cells without any functional OPA3 protein have abnormally shaped mitochondria. These cells likely have reduced energy production and die sooner than normal, decreasing energy availability in the body's tissues. It is unclear why the optic nerves and the parts of the brain that control movement are particularly affected."
"Costello syndrome",,https://ghr.nlm.nih.gov/condition/costello-syndrome,,"Other signs and symptoms can include problems with vision.",,,,"Mutations in the HRAS gene cause Costello syndrome. Mutations that cause Costello syndrome lead to the production of an H-Ras protein that is abnormally turned on (active). The overactive protein directs cells to grow and divide constantly, which can lead to the development of cancerous and noncancerous tumors. It is unclear how mutations in the HRAS gene cause the other features of Costello syndrome, but many of the signs and symptoms probably result from cell overgrowth and abnormal cell division."
"Craniofacial microsomia",,https://ghr.nlm.nih.gov/condition/craniofacial-microsomia,,"Eye problems are less common in craniofacial microsomia, but some affected individuals have an unusually small eyeball (microphthalmia) or other eye abnormalities that result in vision loss.",,,,"It is unclear what genes are involved in craniofacial microsomia. "
"Craniometaphyseal dysplasia",,https://ghr.nlm.nih.gov/condition/craniometaphyseal-dysplasia,,"Compression of the cranial nerves can lead to paralyzed facial muscles (facial nerve palsy), blindness, or deafness.",,,,"Mutations in the ANKH gene that cause autosomal dominant craniometaphyseal dysplasia may decrease the ANKH protein's ability to transport pyrophosphate out of cells. Reduced levels of pyrophosphate can increase bone mineralization, contributing to the bone overgrowth seen in craniometaphyseal dysplasia. Why long bones are shaped differently and only the skull bones become thicker in people with this condition remains unclear."
"Crouzon syndrome",,https://ghr.nlm.nih.gov/condition/crouzon-syndrome,,"Many features of Crouzon syndrome result from the premature fusion of the skull bones. Abnormal growth of these bones leads to wide-set, bulging eyes and vision problems caused by shallow eye sockets; eyes that do not point in the same direction (strabismus);",,,,"Mutations in the FGFR2 gene probably overstimulate signaling by the FGFR2 protein, which causes the bones of the skull to fuse prematurely."
"Cyclic vomiting syndrome",,https://ghr.nlm.nih.gov/condition/cyclic-vomiting-syndrome,,"Additional symptoms can include an increased sensitivity to light (photophobia) ",,,,"the causes of cyclic vomiting syndrome have yet to be determined,Some cases of cyclic vomiting syndrome, particularly those that begin in childhood, may be related to changes in mitochondrial DNA"
Cystinosis,,https://ghr.nlm.nih.gov/condition/cystinosis,,"By about the age of 2, cystine crystals may be present in the clear covering of the eye (cornea). Other signs and symptoms that may occur in untreated people, especially after adolescence, include muscle deterioration, blindness, People with non-nephropathic or ocular cystinosis typically experience photophobia due to cystine crystals in the cornea",,,,"All three types of cystinosis are caused by mutations in the CTNS gene. Mutations in this gene lead to a deficiency of a transporter protein called cystinosin. Within cells, this protein normally moves cystine out of the lysosomes, which are compartments in the cell that digest and recycle materials. When cystinosin is defective or missing, cystine accumulates and forms crystals in the lysosomes. The buildup of cystine damages cells in the kidneys and eyes and may also affect other organs."
"D-bifunctional protein deficiency/ pseudo-Zellweger syndrome.",,https://ghr.nlm.nih.gov/condition/d-bifunctional-protein-deficiency,,"As the condition gets worse, affected children develop loss of vision.",,,,"HSD17B4 gene mutations that cause D-bifunctional protein deficiency can affect one or both of the protein's functions; however, this distinction does not seem to affect the severity or features of the disorder. Impairment of one or both of the protein's enzymatic activities prevents the D-bifunctional protein from breaking down fatty acids efficiently. As a result, these fatty acids accumulate in the body. It is unclear how fatty acid accumulation leads to the specific neurological and non-neurological features of D-bifunctional protein deficiency. However, the accumulation may result in abnormal development of the brain and the breakdown of myelin, which is the covering that protects nerves and promotes the efficient transmission of nerve impulses. Destruction of myelin leads to a loss of myelin-containing tissue (white matter) in the brain and spinal cord; loss of white matter is described as leukodystrophy. Abnormal brain development and leukodystrophy likely underlie the neurological abnormalities that occur in D-bifunctional protein deficiency."
"Dandy-Walker malformation",,https://ghr.nlm.nih.gov/condition/dandy-walker-malformation,,"While rare, vision problems can be feature of this condition.",,,,"Dandy-Walker malformation most often occurs in people with trisomy 18 (an extra copy of chromosome 18), but can also occur in people with trisomy 13, trisomy 21, or trisomy 9. This condition can also be associated with missing (deletions) or copied (duplications) pieces of certain chromosomes. Dandy-Walker malformation can also be a feature of genetic syndromes that are caused by mutations in specific genes. However, the brain malformations associated with Dandy-Walker malformation often occur as an isolated feature (not associated with other health problems), and in these cases the cause is frequently unknown. Research suggests that Dandy-Walker malformation could be caused by environmental factors that affect early development before birth. For example, exposure of the fetus to substances that cause birth defects (teratogens) may be involved in the development of this condition. In addition, a mother with diabetes is more likely than a healthy mother to have a child with Dandy-Walker malformation."
"Deafness and myopia syndrome",,https://ghr.nlm.nih.gov/condition/deafness-and-myopia-syndrome,,"Affected individuals have severe nearsightedness (high myopia). These individuals are able to see nearby objects clearly, but objects that are farther away appear blurry. The myopia is usually diagnosed by early childhood.",,,,"SLITRK6 gene mutations that cause deafness and myopia syndrome result in an abnormally short SLITRK6 protein that is not anchored properly to the cell membrane. As a result, the protein is unable to function normally. Impaired SLITRK6 protein function leads to abnormal nerve development in the inner ear and improperly controlled eyeball growth, resulting in the hearing loss and nearsightedness that occur in deafness and myopia syndrome."
"Deafness-dystonia-optic neuronopathy syndrome",,https://ghr.nlm.nih.gov/condition/deafness-dystonia-optic-neuronopathy-syndrome,,"Characterized by impaired vision. Individuals with DDON syndrome have normal vision during childhood, but they may begin to develop an increased sensitivity to light (photophobia) or other vision problems during their teens. These people often have a slowly progressive reduction in the sharpness of vision (visual acuity) and become legally blind in mid-adulthood.",,,,"Most mutations in the TIMM8A gene result in the absence of functional TIMM8A protein inside the mitochondria, which prevents the formation of the TIMM8A/TIMM13 complex. Researchers believe that the lack of this complex leads to abnormal protein transport, although it is unclear how abnormal protein transport affects the function of the mitochondria and causes the signs and symptoms of DDON syndrome."
"Dent disease type 2",,https://ghr.nlm.nih.gov/condition/dent-disease,,cataracts,,,,"Mutations in the CLCN5 or OCRL gene disrupt the reabsorption function of the proximal tubules, which leads to the progressive kidney problems found in people with Dent disease. OCRL gene is active (expressed) throughout the body, it is unclear why Dent disease 2 primarily affects the kidneys and, to a lesser extent, the brain, eyes, and other tissues. The genetic cause of CDA type III has not been identified. It likely results from mutations in a gene located on the long arm of chromosome 15 at a position designated 15q22. Researchers continue to search for the specific gene associated with this form of the condition."
"Diamond-Blackfan anemia",,https://ghr.nlm.nih.gov/condition/diamond-blackfan-anemia,,"Other features of Diamond-Blackfan anemia may include eye problems such as clouding of the lens of the eyes (cataracts), increased pressure in the eyes (glaucoma), or eyes that do not look in the same direction (strabismus). ",,,,"Diamond-Blackfan anemia can be caused by mutations in the RPL5, RPL11, RPL35A, RPS7, RPS10, RPS17, RPS19, RPS24, and RPS26 genes."
"Dilated cardiomyopathy with ataxia syndrome",,https://ghr.nlm.nih.gov/condition/dilated-cardiomyopathy-with-ataxia-syndrome,,"Other common features of DCMA syndrome include degeneration of nerve cells that carry visual information from the eyes to the brain (optic nerve atrophy), which can lead to vision loss.",,,,"The DNAJC19 gene mutations that cause DCMA syndrome lead to the production of an abnormally shortened protein that likely has impaired function. Researchers speculate that a lack of functional DNAJC19 protein alters the transport of other proteins into and out of the mitochondria. When too many or too few proteins move in and out of the mitochondria, energy production and mitochondrial survival can be reduced. Tissues that have high energy demands, such as the heart and the brain, are especially susceptible to decreases in cellular energy production. It is likely that this loss of cellular energy damages these and other tissues, leading to heart problems, movement difficulties, and other features of DCMA syndrome."
"Distal 18q deletion syndrome",,https://ghr.nlm.nih.gov/condition/distal-18q-deletion-syndrome,,"Eye movement disorders and other vision problems disorder. ",,,,"Distal 18q deletion syndrome is caused by a deletion of genetic material from one copy of chromosome 18 anywhere between a region called 18q21 and the end of the chromosome. The size of the deletion varies among affected individuals. The signs and symptoms of distal 18q deletion syndrome are thought to be related to the loss of multiple genes (TCF4, TSHZ1) , some of which have not been identified, from this part of chromosome 18. Researchers are working to determine how the loss of specific genes in this region contributes to the various features of this disorder."
"Donnai-Barrow syndrome",,https://ghr.nlm.nih.gov/condition/donnai-barrow-syndrome,,"In addition, they often experience vision problems, including extreme nearsightedness (high myopia), detachment or deterioration of the light-sensitive tissue in the back of the eye (the retina), and progressive vision loss. Some have a gap or split in the colored part of the eye (iris coloboma).",,,,"LRP2 gene mutations that cause Donnai-Barrow syndrome are believed to result in the absence of functional megalin protein. The lack of functional megalin in the renal tubules causes megalin's various ligands to be excreted in the urine rather than being absorbed back into the bloodstream. The features of Donnai-Barrow syndrome are probably caused by the inability of megalin to help absorb these ligands, disruption of biochemical signaling pathways, or other effects of the nonfunctional megalin protein. However, it is unclear how these abnormalities result in the specific signs and symptoms of the disorder."
"Dopamine beta-hydroxylase deficiency",,https://ghr.nlm.nih.gov/condition/dopamine-beta-hydroxylase-deficiency,,"Individuals with dopamine β-hydroxylase deficiency typically experience a sharp drop in blood pressure upon standing (orthostatic hypotension), which can cause dizziness, blurred vision",,,,"DBH gene mutations result in the production of a nonfunctional dopamine β-hydroxylase enzyme. People who lack functional dopamine β-hydroxylase cannot convert dopamine to norepinephrine, which leads to a shortage of norepinephrine in the body. The lack of norepinephrine causes difficulty with regulating blood pressure and other autonomic nervous system problems seen in dopamine β-hydroxylase deficiency."
"Down syndrome",,https://ghr.nlm.nih.gov/condition/down-syndrome,,"Individuals with Down syndrome also have an increased risk of hearing and vision problems. ",,,,"Most cases of Down syndrome result from trisomy 21, which means each cell in the body has three copies of chromosome 21 instead of the usual two copies."
"Dyskeratosis congenita",,https://ghr.nlm.nih.gov/condition/dyskeratosis-congenita,,"Another severe variant called Revesz syndrome involves abnormalities in the light-sensitive tissue at the back of the eye (retina) in addition to the other symptoms of dyskeratosis congenita.",,,,"Mutations in the following genes :CTC1, DKC1, NHP2, NOP10, RTEL1, TERC, TERT, TINF2, WRAP5I. N about half of people with dyskeratosis congenita, the disorder is caused by mutations in the TERT, TERC, DKC1, or TINF2 gene. TERT, TERC, DKC1, or TINF2 gene mutations result in dysfunction of the telomerase or shelterin complexes, leading to impaired maintenance of telomeres and reduced telomere length. Cells that divide rapidly are especially vulnerable to the effects of shortened telomeres. As a result, people with dyskeratosis congenita may experience a variety of problems affecting quickly dividing cells in the body such as cells of the nail beds, hair follicles, skin, lining of the mouth (oral mucosa), and bone marrow."
"Dystrophic epidermolysis bullosa",,https://ghr.nlm.nih.gov/condition/dystrophic-epidermolysis-bullosa,,"Severe cases of this condition involve widespread blistering that can lead to vision loss, disfigurement, and other serious medical problems.As the blisters heal, they result in severe scarring. Additional complications of progressive scarring can include fusion of the fingers and toes, loss of fingernails and toenails, joint deformities (contractures) that restrict movement, and eye inflammation leading to vision loss. ",,,,"Mutations in the COL7A1 gene cause all three major forms of dystrophic epidermolysis bullosa. COL7A1 mutations alter the structure or disrupt the production of type VII collagen, which impairs its ability to help connect the epidermis to the dermis. When type VII collagen is abnormal or missing, friction or other minor trauma can cause the two skin layers to separate. This separation leads to the formation of blisters, which can cause extensive scarring as they heal. Researchers are working to determine how abnormalities of type VII collagen also underlie the increased risk of skin cancer seen in the severe form of dystrophic epidermolysis bullosa."
"Early-onset glaucoma",,https://ghr.nlm.nih.gov/condition/early-onset-glaucoma,,"Glaucoma is a group of eye disorders in which the optic nerves connecting the eyes and the brain are progressively damaged. This damage can lead to reduction in side (peripheral) vision and eventual blindness. Other signs and symptoms may include bulging eyes, excessive tearing, and abnormal sensitivity to light (photophobia). The term ""early-onset glaucoma"" may be used when the disorder appears before the age of 40.",,,,"Approximately 10 percent to 33 percent of people with juvenile open-angle glaucoma have mutations in the MYOC gene. Mutations may alter the protein in such a way that the complex cannot be formed. Defective myocilin that is not incorporated into functional complexes may accumulate in the trabecular meshwork and ciliary body. The excess protein may prevent sufficient flow of fluid from the eye, resulting in increased intraocular pressure and causing the signs and symptoms of early-onset glaucoma. Between 20 percent and 40 percent of people with primary congenital glaucoma have mutations in the CYP1B1 gene. It is not well understood how defects in the CYP1B1 protein cause signs and symptoms of glaucoma. Recent studies suggest that the defects may interfere with the early development of the trabecular meshwork. In the clear covering of the eye (the cornea), the CYP1B1 protein may also be involved in a process that regulates the secretion of fluid inside the eye. If this fluid is produced in excess, the high intraocular pressure characteristic of glaucoma may develop."
"Encephalocraniocutaneous lipomatosis",,https://ghr.nlm.nih.gov/condition/encephalocraniocutaneous-lipomatosis,,"The most common eye abnormality in ECCL is a noncancerous growth called a choristoma. These growths can be present in one or both eyes and may affect vision.",,,,"The FGFR1 gene mutations that cause ECCL arise randomly in one cell during the early stages of development before birth. As cells continue to grow and divide, some cells will have the mutation and others will not. This mixture of cells with and without a genetic mutation is known as mosaicism. In cells with an altered FGFR1 gene, the resulting FGFR1 protein is overactive, triggering abnormal signaling that affects cell growth and division. Researchers are studying how these changes in signaling lead to the growth of noncancerous tumors and the other features of ECCL."
"Episodic ataxia",,https://ghr.nlm.nih.gov/condition/episodic-ataxia,,"Between episodes, some affected individuals continue to experience ataxia, which may worsen over time, as well as involuntary eye movements called nystagmus.",,,,"Episodic ataxia can be caused by mutations in several genes that play important roles in the nervous system. Three of these genes, KCNA1, CACNA1A, and CACNB4, provide instructions for making proteins that are involved in the transport of charged atoms (ions) across cell membranes.  Mutations in the KCNA1, CACNA1A, and CACNB4 genes are responsible for episodic ataxia types 1, 2, and 5, respectively. Mutations in the SLC1A3 gene have been found to cause episodic ataxia type 6. "
"Facioscapulohumeral muscular dystrophy",,https://ghr.nlm.nih.gov/condition/facioscapulohumeral-muscular-dystrophy,,"Additional signs and symptoms of facioscapulohumeral muscular dystrophy can include abnormalities involving the light-sensitive tissue at the back of the eye (the retina). These signs are often not noticeable and may be discovered only during medical testing. ",,,,"When the D4Z4 region is hypomethylated, with a shortage of attached methyl groups. In FSHD1, hypomethylation occurs because the D4Z4 region is abnormally shortened (contracted), containing between 1 and 10 repeats instead of the usual 11 to 100 repeats. In FSHD2, hypomethylation most often results from mutations in a gene called SMCHD1, which provides instructions for making a protein that normally hypermethylates the D4Z4 region. However, about 20 percent of people with FSHD2 do not have an identified mutation in the SMCHD1 gene, and the cause of the hypomethylation is unknown.Hypermethylation of the D4Z4 region normally keeps a gene called DUX4 silenced in most adult cells and tissues. The DUX4 gene is located in the segment of the D4Z4 region closest to the end of chromosome 4. In people with facioscapulohumeral muscular dystrophy, hypomethylation of the D4Z4 region prevents the DUX4 gene from being silenced in cells and tissues where it is usually turned off. Although little is known about the function of the DUX4 gene when it is active, researchers believe that it influences the activity of other genes, particularly in muscle cells. It is unknown how abnormal activity of the DUX4 gene damages or destroys these cells, leading to progressive muscle weakness and atrophy."
