,Name1,GHR-webpage1,frequency1,Description1,,Inheritance-pattern1,,Related-gene-list1,,,Synonym-list1,Db-key-list1,key1,reviewed1,published,,,,
,,,,,"can lead to a severe loss of thinking and reasoning abilities (dementia).",,,,,,,,,,,,,,
,,,,,"Worsening problems with movement also occur, including dystonia and",,,,,,,,,,,,,,
,,,,,"parkinsonism. Dystonia is a condition characterized by involuntary, sustained",,,,,,,,,,,,,,
,,,,,"muscle contractions. In BPAN, the dystonia often starts in the arms.",,,,,,,,,,,,,,
,,,,,"Parkinsonism can include unusually slow movement (bradykinesia), rigidity,",,,,,,,,,,,,,,
,,,,,"tremors, an inability to hold the body upright and balanced (postural",,,,,,,,,,,,,,
,,,,,"instability), and a shuffling walk that can cause recurrent falls.",,,,,,,,,,,,,,
,,,,html:p,"The lifespan of people with BPAN varies. With proper management of their signs",,,,,,,,,,,,,,
,,,,,"and symptoms, affected individuals can live into middle age. Death may result",,,,,,,,,,,,,,
,,,,,"from complications of dementia or movement problems, such as injuries from falls",,,,,,,,,,,,,,
,,,,,"or swallowing difficulties (dysphagia) that can lead to a bacterial lung",,,,,,,,,,,,,,
,,,,,"infection called aspiration pneumonia.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
179,"Beta thalassemia",https://ghr.nlm.nih.gov/condition/beta-thalassemia,"Beta thalassemia is a fairly common blood disorder worldwide. Thousands",html:p,"Beta thalassemia is a blood disorder that reduces the production of hemoglobin.",ar,"autosomal recessive",,HBB,https://ghr.nlm.nih.gov/gene/HBB,"erythroblastic anemia",db,key,2015-09,2017-12-29,,,,
,乙型地中海貧血,,"of infants with beta thalassemia are born each year. Beta thalassemia occurs",,"Hemoglobin is the iron-containing protein in red blood cells that carries",,,,,,"Mediterranean anemia",GTR,C0005283,,,,,,
,,,"most frequently in people from Mediterranean countries, North Africa, the Middle",,"oxygen to cells throughout the body.",,,,,,"microcytemia, beta type",db,key,,,,,,
,,,"East, India, Central Asia, and Southeast Asia.",html:p,"In people with beta thalassemia, low levels of hemoglobin lead to a lack of",,,,,,"thalassemia, beta type",GTR,C1858990,,,,,,
,,,,,"oxygen in many parts of the body. Affected individuals also have a shortage of",,,,,,,db,key,,,,,,
,,,,,"red blood cells (anemia), which can cause pale skin, weakness, fatigue, and more",,,,,,,GeneReviews,b-thal,,,,,,
,,,,,"serious complications. People with beta thalassemia are at an increased risk",,,,,,,db,key,,,,,,
,,,,,"of developing abnormal blood clots.",,,,,,,ICD-10-CM,D56.1,,,,,,
,,,,html:p,"Beta thalassemia is classified into two types depending on the severity of",,,,,,,db,key,,,,,,
,,,,,"symptoms: thalassemia major (also known as Cooley's anemia) and thalassemia",,,,,,,MeSH,D017086,,,,,,
,,,,,"intermedia. Of the two types, thalassemia major is more severe.",,,,,,,db,key,,,,,,
,,,,html:p,"The signs and symptoms of thalassemia major appear within the first 2 years of",,,,,,,OMIM,603902,,,,,,
,,,,,"life. Children develop life-threatening anemia. They do not gain weight and",,,,,,,db,key,,,,,,
,,,,,"grow at the expected rate (failure to thrive) and may develop yellowing of the",,,,,,,OMIM,613985,,,,,,
,,,,,"skin and whites of the eyes (jaundice). Affected individuals may have an",,,,,,,db,key,,,,,,
,,,,,"enlarged spleen, liver, and heart, and their bones may be misshapen. Some",,,,,,,Orphanet,848,,,,,,
,,,,,"adolescents with thalassemia major experience delayed puberty. Many people with",,,,,,,db,key,,,,,,
,,,,,"thalassemia major have such severe symptoms that they need frequent blood",,,,,,,Orphanet,231214,,,,,,
,,,,,"transfusions to replenish their red blood cell supply. Over time, an influx of",,,,,,,db,key,,,,,,
,,,,,"iron-containing hemoglobin from chronic blood transfusions can lead to a buildup",,,,,,,Orphanet,231222,,,,,,
,,,,,"of iron in the body, resulting in liver, heart, and hormone problems.",,,,,,,db,key,,,,,,
,,,,html:p,"Thalassemia intermedia is milder than thalassemia major. The signs and symptoms",,,,,,,"SNOMED CT",111572002,,,,,,
,,,,,"of thalassemia intermedia appear in early childhood or later in life. Affected",,,,,,,db,key,,,,,,
,,,,,"individuals have mild to moderate anemia and may also have slow growth and bone",,,,,,,"SNOMED CT",15326009,,,,,,
,,,,,abnormalities.,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",191189009,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",26682008,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",27080008,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",39586009,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",47084006,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",5967006,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",61395005,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",65959000,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",716682000,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,"SNOMED CT",79592006,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,related-gene-list,,,,"SNOMED CT",86715000,,,,,,
180,"Beta-ureidopropionase deficiency",https://ghr.nlm.nih.gov/condition/beta-ureidopropionase-deficiency,"The prevalence of beta-ureidopropionase deficiency is unknown. A small",html:p,"Beta-ureidopropionase deficiency is a disorder that causes excessive amounts of",ar,"autosomal recessive",,UPB1,https://ghr.nlm.nih.gov/gene/UPB1,"beta-alanine synthase deficiency",db,key,2014-08,2017-12-29,,,,
,β-脲基丙酸酶缺乏症,,"number of affected individuals from populations around the world have been",,"molecules called N-carbamyl-beta-aminoisobutyric acid and",,,,,,"deficiency of beta-ureidopropionase",GTR,C1291512,,,,,,
,,,"described in the medical literature. In Japan, the prevalence of",,"N-carbamyl-beta-alanine to be released in the urine. Neurological problems",,,,,,,db,key,,,,,,
,,,"beta-ureidopropionase deficiency has been estimated as 1 in 6,000 people.",,"ranging from mild to severe also occur in some affected individuals.",,,,,,,MeSH,D011686,,,,,,
,,,"Researchers suggest that in many affected individuals with absent or mild",html:p,"People with beta-ureidopropionase deficiency can have low muscle tone",,,,,,,db,key,,,,,,
,,,"neurological problems, the condition may never be diagnosed.",,"(hypotonia), seizures, speech difficulties, developmental delay, intellectual",,,,,,,OMIM,613161,,,,,,
,,,,,"disability, and autistic behaviors that affect communication and social",,,,,,,db,key,,,,,,
,,,,,"interaction. Some people with this condition have an abnormally small head size",,,,,,,Orphanet,65287,,,,,,
,,,,,"(microcephaly); they may also have brain abnormalities that can be seen with",,,,,,,db,key,,,,,,
,,,,,"medical imaging. Deterioration of the optic nerve, which carries visual",,,,,,,"SNOMED CT",124511000,,,,,,
,,,,,"information from the eyes to the brain, can lead to vision loss in this",,,,,,,,,,,,,,
,,,,,condition.,,,,,,,,,,,,,,
,,,,html:p,"In some people with beta-ureidopropionase deficiency, the disease causes no",,,,,,,,,,,,,,
,,,,,"neurological problems and can only be diagnosed by laboratory testing.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
181,"Bietti crystalline dystrophy",https://ghr.nlm.nih.gov/condition/bietti-crystalline-dystrophy,"Bietti crystalline dystrophy has been estimated to occur in 1 in 67,000",html:p,"Bietti crystalline dystrophy is a disorder in which numerous small, yellow or",ar,"autosomal recessive",,CYP4V2,https://ghr.nlm.nih.gov/gene/CYP4V2,BCD,db,key,2012-11,2017-12-29,,,,
,Bietti晶體結晶樣角膜視網膜營養不良,,"people. It is more common in people of East Asian descent, especially those of",,"white crystal-like deposits of fatty (lipid) compounds accumulate in the",,,,,,"Bietti crystalline corneoretinal dystrophy",GTR,C1859486,,,,,,
,Bietti结晶样营养障碍,,"Chinese and Japanese background. Researchers suggest that Bietti crystalline",,"light-sensitive tissue that lines the back of the eye (the retina). The deposits",,,,,,"Bietti crystalline retinopathy",db,key,,,,,,
,,,"dystrophy may be underdiagnosed because its symptoms are similar to those of",,"damage the retina, resulting in progressive vision loss.",,,,,,"Bietti tapetoretinal degeneration with marginal corneal dystrophy",GeneReviews,bietti-cd,,,,,,
,,,"other eye disorders that progressively damage the retina.",html:p,"People with Bietti crystalline dystrophy typically begin noticing vision",,,,,,,db,key,,,,,,
,,,,,"problems in their teens or twenties. They experience a loss of sharp vision",,,,,,,MeSH,D012162,,,,,,
,,,,,"(reduction in visual acuity) and difficulty seeing in dim light (night",,,,,,,db,key,,,,,,
,,,,,"blindness). They usually lose areas of vision (visual field loss), most often",,,,,,,OMIM,210370,,,,,,
,,,,,"side (peripheral) vision. Color vision may also be impaired.",,,,,,,db,key,,,,,,
,,,,html:p,"The vision problems may worsen at different rates in each eye, and the severity",,,,,,,Orphanet,41751,,,,,,
,,,,,"and progression of symptoms varies widely among affected individuals, even",,,,,,,db,key,,,,,,
,,,,,"within the same family. However, most people with this condition become legally",,,,,,,"SNOMED CT",312927001,,,,,,
,,,,,"blind by their forties or fifties. Most affected individuals retain some degree",,,,,,,,,,,,,,
,,,,,"of vision, usually in the center of the visual field, although it is typically",,,,,,,,,,,,,,
,,,,,"blurry and cannot be corrected by glasses or contact lenses. Vision impairment",,,,,,,,,,,,,,
,,,,,"that cannot be improved with corrective lenses is called low vision.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
182,"Biotin-thiamine-responsive basal ganglia disease",https://ghr.nlm.nih.gov/condition/biotin-thiamine-responsive-basal-ganglia-disea,"Biotin-thiamine-responsive basal ganglia disease is a rare disorder; its",html:p,"Biotin-thiamine-responsive basal ganglia disease is a disorder that affects the",ar,"autosomal recessive",,SLC19A3,https://ghr.nlm.nih.gov/gene/SLC19A3,BBGD,db,key,2014-01,2017-12-29,,,,
,,se,"prevalence is unknown. Approximately 48 cases have been reported in the medical",,"nervous system, including a group of structures in the brain called the basal",,,,,,"biotin-responsive basal ganglia disease",GTR,C1843807,,,,,,
,,,"literature; most of these are individuals from Arab populations.",,"ganglia, which help control movement. As its name suggests, the condition may",,,,,,BTBGD,db,key,,,,,,
,,,,,"improve if the vitamins biotin and thiamine are given as treatment. Without",,,,,,"thiamine metabolism dysfunction syndrome 2",GeneReviews,bgd-biotin,,,,,,
,,,,,"early and lifelong vitamin treatment, people with biotin-thiamine-responsive",,,,,,"thiamine-responsive encephalopathy",db,key,,,,,,
,,,,,"basal ganglia disease experience a variety of neurological problems that",,,,,,"thiamine transporter-2 deficiency",MeSH,D001480,,,,,,
,,,,,"gradually get worse. The occurrence of specific neurological problems and their",,,,,,THMD2,db,key,,,,,,
,,,,,"severity vary even among affected individuals within the same family.",,,,,,,OMIM,607483,,,,,,
,,,,html:p,"The signs and symptoms of biotin-thiamine-responsive basal ganglia disease",,,,,,,db,key,,,,,,
,,,,,"usually begin between the ages of 3 and 10, but the disorder can appear at any",,,,,,,"SNOMED CT",703522009,,,,,,
,,,,,"age. Many of the neurological problems that can occur in",,,,,,,,,,,,,,
,,,,,"biotin-thiamine-responsive basal ganglia disease affect movement, and can",,,,,,,,,,,,,,
,,,,,"include involuntary tensing of various muscles (dystonia), muscle rigidity,",,,,,,,,,,,,,,
,,,,,"muscle weakness on one or both sides of the body (hemiparesis or quadriparesis),",,,,,,,,,,,,,,
,,,,,"problems coordinating movements (ataxia), and exaggerated reflexes",,,,,,,,,,,,,,
,,,,,"(hyperreflexia). Movement problems can also affect the face, and may include the",,,,,,,,,,,,,,
,,,,,"inability to move facial muscles due to facial nerve paralysis (supranuclear",,,,,,,,,,,,,,
,,,,,"facial palsy), paralysis of the eye muscles (external ophthalmoplegia),",,,,,,,,,,,,,,
,,,,,"difficulty chewing or swallowing (dysphagia), and slurred speech. Affected",,,,,,,,,,,,,,
,,,,,"individuals may also experience confusion, loss of previously learned skills,",,,,,,,,,,,,,,
,,,,,"intellectual disability, and seizures. Severe cases may result in coma and",,,,,,,,,,,,,,
,,,,,"become life-threatening.",,,,,,,,,,,,,,
,,,,html:p,"Typically, the neurological symptoms occur as increasingly severe episodes,",,,,,,,,,,,,,,
,,,,,"which may be triggered by fever, injury, or other stresses on the body. Less",,,,,,,,,,,,,,
,,,,,"commonly, the signs and symptoms persist at the same level or slowly increase in",,,,,,,,,,,,,,
,,,,,"severity over time rather than occurring as episodes that come and go. In these",,,,,,,,,,,,,,
,,,,,"individuals, the neurological problems are usually limited to dystonia, seizure",,,,,,,,,,,,,,
,,,,,"disorders, and delay in the development of mental and motor skills (psychomotor",,,,,,,,,,,,,,
,,,,,delay).,,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
183,"Biotinidase deficiency",https://ghr.nlm.nih.gov/condition/biotinidase-deficiency,"Profound or partial biotinidase deficiency occurs in approximately 1 in",html:p,"Biotinidase deficiency is an inherited disorder in which the body is unable to",ar,"autosomal recessive",,BTD,https://ghr.nlm.nih.gov/gene/BTD,BIOT,db,key,2014-12,2017-12-29,,,,
,生物素酶缺乏症,,"60,000 newborns",,"recycle the vitamin biotin. If this condition is not recognized and treated, its",,,,,,"BTD deficiency",GTR,C0220754,,,,,,
,,,,,"signs and symptoms typically appear within the first few months of life,",,,,,,"carboxylase deficiency, multiple, late-onset",db,key,,,,,,
,,,,,"although it can also become apparent later in childhood.",,,,,,"late-onset biotin-responsive multiple carboxylase deficiency",GeneReviews,biotin,,,,,,
,,,,html:p,"Profound biotinidase deficiency, the more severe form of the condition, can",,,,,,"late-onset multiple carboxylase deficiency",db,key,,,,,,
,,,,,"cause seizures, weak muscle tone (hypotonia), breathing problems, hearing and",,,,,,"multiple carboxylase deficiency, late-onset",ICD-10-CM,D81.810,,,,,,
,,,,,"vision loss, problems with movement and balance (ataxia), skin rashes, hair loss",,,,,,,db,key,,,,,,
,,,,,"(alopecia), and a fungal infection called candidiasis. Affected children also",,,,,,,MeSH,D028921,,,,,,
,,,,,"have delayed development. Lifelong treatment can prevent these complications",,,,,,,db,key,,,,,,
,,,,,"from occurring or improve them if they have already developed.",,,,,,,OMIM,253260,,,,,,
,,,,html:p,"Partial biotinidase deficiency is a milder form of this condition. Without",,,,,,,db,key,,,,,,
,,,,,"treatment, affected children may experience hypotonia, skin rashes, and hair",,,,,,,Orphanet,148,,,,,,
,,,,,"loss, but these problems may appear only during illness, infection, or other",,,,,,,db,key,,,,,,
,,,,,"times of stress.",,,,,,,"SNOMED CT",8808004,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Biotin-thiamine-responsive basal ganglia disease",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,synonym-list,,db-key-list,,,,,,,,,
184,"Bipolar disorder",https://ghr.nlm.nih.gov/condition/bipolar-disorder,"Bipolar disorder is a common form of mental illness. At some point during",html:p,"Bipolar disorder is a mental health condition that causes extreme shifts in",u,"pattern unknown",synonym,"bipolar affective psychosis",,key,2017-12-29,,,,,,,
,躁鬱症,,"their lifetime, 2.4 percent of people worldwide and 4.4 percent of people in the",,"mood, energy, and behavior. This disorder most often appears in late adolescence",,,synonym,"bipolar spectrum disorder",db-key,C1839839,,,,,,,,
,双相情感障碍,,"United States are diagnosed with this condition.",,"or early adulthood, although symptoms can begin at any time of life.",,,synonym,"depression, bipolar",,key,,,,,,,,
,早期稱為躁狂抑鬱,,,html:p,"People with bipolar disorder experience both dramatic ""highs,"" called manic",,,synonym,"manic depressive illness",db-key,C1852197,,,,,,,,
,,,,,"episodes, and ""lows,"" called depressive episodes. These episodes can last from",,,,,,key,,,,,,,,
,,,,,"hours to weeks, and many people have no symptoms between episodes. Manic",,,,,db-key,C1864994,,,,,,,,
,,,,,"episodes are characterized by increased energy and activity, irritability,",,,,,,key,,,,,,,,
,,,,,"restlessness, an inability to sleep, and reckless behavior. Depressive episodes",,,,,db-key,C1970943,,,,,,,,
,,,,,"are marked by low energy and activity, a feeling of hopelessness, and an",,,,,,key,,,,,,,,
,,,,,"inability to perform everyday tasks. People with bipolar disorder often have",,,,,db-key,C1970944,,,,,,,,
,,,,,"repeated thoughts of death and suicide, and they have a much greater risk of",,,,,,key,,,,,,,,
,,,,,"dying by suicide than the general population.",,,,,db-key,C1970945,,,,,,,,
,,,,html:p,"Manic and depressive episodes can include psychotic symptoms, such as false",,,,,,key,,,,,,,,
,,,,,"perceptions (hallucinations) or strongly held false beliefs (delusions). Mixed",,,,,db-key,C2700438,,,,,,,,
,,,,,"episodes, which have features of manic and depressive episodes at the same time,",,,,,,key,,,,,,,,
,,,,,"also occur in some affected individuals.",,,,,db-key,C2700439,,,,,,,,
,,,,html:p,"Bipolar disorder often occurs with other mental health conditions, including",,,,,,key,,,,,,,,
,,,,,"anxiety disorders (such as panic attacks), behavioral disorders (such as",,,,,db-key,C2700440,,,,,,,,
,,,,,"attention-deficit hyperactivity disorder), and substance abuse.",,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.0,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.1,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.2,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.3,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.4,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.5,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.6,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.7,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.8,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.9,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.10,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.11,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.12,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.13,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.30,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.31,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.32,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.60,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.61,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.62,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.63,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.64,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.70,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.71,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.72,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.73,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.74,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.75,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.76,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.77,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.78,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.81,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,F31.89,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,D001714,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,125480,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,309200,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,609633,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,611247,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,611535,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,611536,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,612357,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,612371,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,,,db-key,612372,,,,,,,,
,,,,,,,,,,,key,,,,,,,,
,,,,,,,,related-gene-list,,,13746004,,,,,,,,
185,"Birt-Hogg-Dubé syndrome",https://ghr.nlm.nih.gov/condition/birt-hogg-dube-syndrome,"Birt-Hogg-Dubé syndrome is rare; its exact incidence is unknown. This",html:p,"Birt-Hogg-Dubé syndrome is a rare disorder that affects the skin and lungs and",ad,"autosomal dominant",,FLCN,https://ghr.nlm.nih.gov/gene/FLCN,BHD,db,key,2013-01,2017-12-29,,,,
,比爾特霍格杜貝症候群,,"condition has been reported in more than 400 families.",,"increases the risk of certain types of tumors. Its signs and symptoms vary among",,,,,,"fibrofolliculomas with trichodiscomas and acrochordons",GTR,C0346010,,,,,,
,(Cancer),,,,"affected individuals.",,,,,,"Hornstein-Birt-Hogg-Dubé syndrome",db,key,,,,,,
,,,,html:p,"Birt-Hogg-Dubé syndrome is characterized by multiple noncancerous (benign) skin",,,,,,"Hornstein-Knickenberg syndrome",GeneReviews,bhd,,,,,,
,,,,,"tumors, particularly on the face, neck, and upper chest. These growths typically",,,,,,,db,key,,,,,,
,,,,,"first appear in a person's twenties or thirties and become larger and more",,,,,,,MeSH,D058249,,,,,,
,,,,,"numerous over time. Affected individuals also have an increased chance of",,,,,,,db,key,,,,,,
,,,,,"developing cysts in the lungs and an abnormal accumulation of air in the chest",,,,,,,OMIM,135150,,,,,,
,,,,,"cavity (pneumothorax) that may result in the collapse of a lung. Additionally,",,,,,,,db,key,,,,,,
,,,,,"Birt-Hogg-Dubé syndrome is associated with an elevated risk of developing",,,,,,,Orphanet,122,,,,,,
,,,,,"cancerous or noncancerous kidney tumors. Other types of cancer have also been",,,,,,,db,key,,,,,,
,,,,,"reported in affected individuals, but it is unclear whether these tumors are",,,,,,,"SNOMED CT",110985001,,,,,,
,,,,,"actually a feature of Birt-Hogg-Dubé syndrome.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
186,"Björnstad syndrome",https://ghr.nlm.nih.gov/condition/bjornstad-syndrome,"Björnstad syndrome is a rare condition, although its prevalence is unknown.",html:p,"Björnstad syndrome is a rare disorder characterized by abnormal hair and hearing",ar,"autosomal recessive",,BCS1L,https://ghr.nlm.nih.gov/gene/BCS1L,"Bjornstad syndrome",db,key,2014-03,2017-12-29,,,,
,,,"It has been found in populations worldwide.",,"problems. Affected individuals have a condition known as pili torti, which",,,,,,BJS,GTR,C0266006,,,,,,
,,,,,"means ""twisted hair,"" so named because the strands appear twisted when viewed",,,,,,"deafness and pili torti, Bjornstad type",db,key,,,,,,
,,,,,"under a microscope. The hair is brittle and breaks easily, leading to short hair",,,,,,"pili torti and nerve deafness",MeSH,D028361,,,,,,
,,,,,"that grows slowly. In Björnstad syndrome, pili torti usually affects only the",,,,,,"pili torti-deafness syndrome",db,key,,,,,,
,,,,,"hair on the head; eyebrows, eyelashes, and hair on other parts of the body are",,,,,,"pili torti-sensorineural hearing loss",OMIM,262000,,,,,,
,,,,,"normal. The proportion of hairs affected and the severity of brittleness and",,,,,,PTD,db,key,,,,,,
,,,,,"breakage can vary. This hair abnormality commonly begins before the age of 2. It",,,,,,,Orphanet,123,,,,,,
,,,,,"may become milder with age, particularly after puberty.",,,,,,,db,key,,,,,,
,,,,html:p,"People with Björnstad syndrome also have hearing problems that become evident",,,,,,,Orphanet,2889,,,,,,
,,,,,"in early childhood. The hearing loss, which is caused by changes in the inner",,,,,,,db,key,,,,,,
,,,,,"ear (sensorineural deafness), can range from mild to severe. Mildly affected",,,,,,,"SNOMED CT",67817003,,,,,,
,,,,,"individuals may be unable to hear sounds at certain frequencies, while severely",,,,,,,,,,,,,,
,,,,,"affected individuals may not be able to hear at all.",,,,,,,,,,,,,,
,,,,,,,,related-gene-list,,,,,,,,,,,
187,"Bladder cancer",https://ghr.nlm.nih.gov/condition/bladder-cancer,"In the United States, bladder cancer is the fourth most common type of",html:p,"Bladder cancer is a disease in which certain cells in the bladder become",n,"not inherited",,FGFR3,https://ghr.nlm.nih.gov/gene/FGFR3,"Cancer of the bladder",db,key,2007-01,2017-12-29,,,,
,,,"cancer in men and the ninth most common cancer in women. About 45,000 men and",,"abnormal and multiply without control or order. The bladder is a hollow,",,,related-gene,gene-symbol,ghr-page,"Malignant tumor of urinary bladder",GTR,C0005684,,,,,,
,,,"17,000 women are diagnosed with bladder cancer each year.",,"muscular organ in the lower abdomen that stores urine until it is ready to be",,,,HRAS,https://ghr.nlm.nih.gov/gene/HRAS,"Urinary bladder cancer",db,key,,,,,,
,,,,,"excreted from the body. The most common type of bladder cancer begins in cells",,,related-gene,gene-symbol,ghr-page,,ICD-10-CM,C67,,,,,,
,,,,,"lining the inside of the bladder and is called transitional cell carcinoma",,,,RB1,https://ghr.nlm.nih.gov/gene/RB1,,db,key,,,,,,
,,,,,(TCC).,,,related-gene,gene-symbol,ghr-page,,ICD-10-CM,C67.0,,,,,,
,,,,html:p,"Bladder cancer may cause blood in the urine, pain during urination, frequent",,,,TP53,https://ghr.nlm.nih.gov/gene/TP53,,db,key,,,,,,
,,,,,"urination, or the feeling that one needs to urinate without results. These signs",,,related-gene,gene-symbol,ghr-page,,ICD-10-CM,C67.1,,,,,,
,,,,,"and symptoms are not specific to bladder cancer, however. They also can be",,,,TSC1,https://ghr.nlm.nih.gov/gene/TSC1,,db,key,,,,,,
,,,,,"caused by noncancerous conditions such as infections.",,,related-chromosome,name,ghr-page,,ICD-10-CM,C67.2,,,,,,
,,,,,,,,,9,https://ghr.nlm.nih.gov/chromosome/9,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,C67.3,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,C67.4,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,C67.5,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,C67.6,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,C67.7,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,C67.8,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,C67.9,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,ICD-10-CM,D09.0,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,MeSH,D001749,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,OMIM,109800,,,,,,
,,,,,,,,,,,,db,key,,,,,,
,,,,,,,,,,,,Orphanet,157980,,,,,,
