"Syndroms related to sudden death",,,,,,syncope,"heart failure",,"cardiac arrest",,,coma
"Hereditary fructose intolerance",,https://ghr.nlm.nih.gov/condition/hereditary-fructose-intolerance,,"Coma and death","Continued exposure to fructose may result in seizures, coma, and ultimately death from liver and kidney failure","ALDOB gene mutations reduce the function of the enzyme, impairing its ability to metabolize fructose. A lack of functional aldolase B results in an accumulation of fructose-1-phosphate in liver cells. This buildup is toxic, resulting in the death of liver cells over time. Additionally, the breakdown products of fructose-1-phosphase are needed in the body to produce energy and to maintain blood sugar levels. The combination of decreased cellular energy, low blood sugar, and liver cell death leads to the features of hereditary fructose intolerance.",,,,,,
"Hereditary hyperekplexia",,https://ghr.nlm.nih.gov/condition/hereditary-hyperekplexia,,SIDS,"Hereditary hyperekplexia is a condition in which affected infants have increased muscle tone (hypertonia) and an exaggerated startle reaction to unexpected stimuli, especially loud noises. Following the startle reaction, infants experience a brief period in which they are very rigid and unable to move. During these rigid periods, some infants stop breathing, which, if prolonged, can be fatal. This condition may explain some cases of sudden infant death syndrome (SIDS), which is a major cause of unexplained death in babies younger than 1 year. Infants with hereditary hyperekplexia have hypertonia at all times, except when they are sleeping.","At least five genes (ARHGEF9, GLRA1, GLRB, GPHN, SLC6A5) are associated with hereditary hyperekplexia. Most of these genes provide instructions for producing proteins that are found in nerve cells (neurons). Approximately 80 percent of cases of hereditary hyperekplexia are caused by mutations in the GLRA1 gene. The GLRA1 gene provides instructions for making one part, the alpha (α)1 subunit, of the glycine receptor protein. GLRA1 gene mutations lead to the production of a receptor that cannot properly respond to glycine. As a result, glycine is less able to transmit signals in the spinal cord and brainstem. Mutations in the other four genes account for a small percentage of all cases of hereditary hyperekplexia.",,,,,,
"Holocarboxylase synthetase deficiency",,https://ghr.nlm.nih.gov/condition/holocarboxylase-synthetase-deficiency,,Coma,"An inherited disorder in which the body is unable to use the vitamin biotin effectively. The signs and symptoms of holocarboxylase synthetase deficiency typically appear within the first few months of life, but the age of onset varies. If left untreated, the disorder can lead to coma. These medical problems may be life-threatening in some cases.","Mutations in the HLCS gene reduce the enzyme's ability to attach biotin to these enzymes, preventing them from processing nutrients properly and disrupting many cellular functions. These defects lead to the serious medical problems associated with holocarboxylase synthetase deficiency.",,,,,,
"Isovaleric acidemia",,https://ghr.nlm.nih.gov/condition/isovaleric-acidemia,,"Coma and death","a rare disorder in which the body is unable to process certain proteins properly. ","If a mutation in the IVD gene reduces or eliminates the activity of this enzyme, the body is unable to break down leucine properly. As a result, an organic acid called isovaleric acid and related compounds build up to harmful levels in the body. This buildup damages the brain and nervous system, causing serious health problems.",,,,,,
"Jervell and Lange-Nielsen syndrome",,https://ghr.nlm.nih.gov/condition/jervell-and-lange-nielsen-syndrome,,"Syncope, Coma, Sudden death","Beginning in early childhood, the irregular heartbeats increase the risk of fainting (syncope) and sudden death. These symptoms sometimes progress to more serious medical problems, including seizures, coma, and possibly death.","About 90 percent of cases of Jervell and Lange-Nielsen syndrome are caused by mutations in the KCNQ1 gene; KCNE1 mutations are responsible for the remaining cases. ",,,,"Beginning in early childhood, the irregular heartbeats increase the risk of fainting (syncope) and sudden death.",,
"Keratoderma with woolly hair",,https://ghr.nlm.nih.gov/condition/keratoderma-with-woolly-hair,,"Sudden death","Cardiomyopathy, which is a disease of the heart muscle, is a life-threatening health problem that can develop in people with keratoderma with woolly hair. Unlike the other features of this condition, signs and symptoms of cardiomyopathy may not appear until adolescence or later. Complications of cardiomyopathy can include an abnormal heartbeat (arrhythmia), heart failure, and sudden death.","Mutations in the JUP, DSP, DSC2, and KANK2 genes cause keratoderma with woolly hair types I through IV, respectively. ",,,,"Complications of cardiomyopathy can include an abnormal heartbeat (arrhythmia), heart failure, and sudden death.",,
"Left ventricular noncompaction",,https://ghr.nlm.nih.gov/condition/left-ventricular-noncompaction,,"Sudden cardiac death, syncope","Some individuals with left ventricular noncompaction experience no symptoms at all; others have heart problems that can include sudden cardiac death. Additional signs and symptoms include irregular heart rhythm (arrhythmia), fainting (syncope),","Mutations in several genes (ACTC1, DTNA, HCN4, LDB3, LMNA, MIB1, MYBPC3, MYH7, PRDM16, SCN5A, TAZ, TNNT2, TPM )have been found to cause left ventricular noncompaction. Mutations in the MYH7 and MYBPC3 genes have been estimated to cause up to 30 percent of cases; mutations in other genes are each responsible for a small percentage of cases. However, the cause of the condition is often unknown.",,,,,,
"Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency",,https://ghr.nlm.nih.gov/condition/long-chain-3-hydroxyacyl-coa-dehydrogenase-deficiency#genes,,"Sudden death","Long-chain 3-hydroxyacyl-CoA dehydrogenase (LCHAD) deficiency is a rare condition that prevents the body from converting certain fats to energy, particularly during periods without food (fasting). Individuals with LCHAD deficiency are also at risk for serious heart problems, breathing difficulties, coma, and sudden death.","Mutations in the HADHA gene ",,,,"Individuals with LCHAD deficiency are also at risk for serious heart problems, breathing difficulties, coma, and sudden death.",,
"Lysinuric protein intolerance",,https://ghr.nlm.nih.gov/condition/lysinuric-protein-intolerance,,Coma,"a disorder caused by the body's inability to digest and use certain protein building blocks (amino acids), namely lysine, arginine, and ornithine. A lack of certain amino acids can cause elevated levels of ammonia in the blood. If ammonia levels are too high for too long, they can cause coma","Mutations in the SLC7A7 gene cause lysinuric protein intolerance.",,,,,,
"Maple syrup urine disease",,https://ghr.nlm.nih.gov/condition/maple-syrup-urine-disease,,"Coma and death","An inherited disorder in which the body is unable to process certain protein building blocks (amino acids) properly. The condition gets its name from the distinctive sweet odor of affected infants' urine. If untreated, maple syrup urine disease can lead to seizures, coma, and death.","Mutations in any of these three genes (BCKDHA, BCKDHB, DBT) reduce or eliminate the function of the protein complex, preventing the normal breakdown of leucine, isoleucine, and valine. As a result, these amino acids and their byproducts build up in the body. Because high levels of these substances are toxic to the brain and other organs, their accumulation leads to the serious health problems associated with maple syrup urine disease. Researchers are studying other genes, PPM1K,  related to the same protein complex that may also be associated with maple syrup urine disease.",,,,,,
"Medium-chain acyl-CoA dehydrogenase deficiency",,https://ghr.nlm.nih.gov/condition/medium-chain-acyl-coa-dehydrogenase-deficiency,,"Coma and death","A condition that prevents the body from converting certain fats to energy, particularly during periods without food (fasting). Signs and symptoms of MCAD deficiency typically appear during infancy or early childhood. In rare cases, symptoms of this disorder are not recognized early in life, and the condition is not diagnosed until adulthood. People with MCAD deficiency are at risk of serious complications such as coma, and sudden death.","Mutations in the ACADM gene lead to a shortage (deficiency) of the MCAD enzyme within cells. Without sufficient amounts of this enzyme, medium-chain fatty acids are not metabolized properly. As a result, these fats are not converted to energy, which can lead to the characteristic signs and symptoms of this disorder such as lethargy and hypoglycemia.",,,,,,
"Megalencephalic leukoencephalopathy with subcortical cysts",,https://ghr.nlm.nih.gov/condition/megalencephalic-leukoencephalopathy-with-subcortical-cysts,,Coma,"A progressive condition that affects brain development and function. Individuals with this condition typically have an enlarged brain (megalencephaly) that is evident at birth or within the first year of life. Minor head trauma can further impair movements and may lead to coma.","Mutations in the MLC1 gene cause megalencephalic leukoencephalopathy with subcortical cysts type 1; this type accounts for 75 percent of all cases. It is unknown how a lack of functional MLC1 or GlialCAM protein at cell junctions in the brain impairs brain development and function, causing the signs and symptoms of megalencephalic leukoencephalopathy with subcortical cysts. Mutations in the HEPACAM gene cause megalencephalic leukoencephalopathy with subcortical cysts types 2A and 2B; together, these types account for 20 percent of all cases. Approximately 5 percent of people with megalencephalic leukoencephalopathy with subcortical cysts do not have identified mutations in the MLC1 or HEPACAM gene. ",,,,,,
"Methylmalonic acidemia",,https://ghr.nlm.nih.gov/condition/methylmalonic-acidemia,,"Coma and death","An inherited disorder in which the body is unable to process certain proteins and fats (lipids) properly. Without treatment, this disorder can lead to coma and death in some cases.","Mutations in the MUT, MMAA, MMAB, MMADHC, and MCEE genes cause methylmalonic acidemia. The long term effects of methylmalonic acidemia depend on which gene is mutated and the severity of the mutation. About 60 percent of methylmalonic acidemia cases are caused by mutations in the MUT gene. It is likely that mutations in other, unidentified genes also cause methylmalonic acidemia.",,,,,,
"Mitochondrial trifunctional protein deficiency",,https://ghr.nlm.nih.gov/condition/mitochondrial-trifunctional-protein-deficiency,,"Sudden death AND coma","Infants with this disorder are also at high risk for serious heart problems, breathing difficulties, coma, and sudden death. ","Mutations in the HADHA and HADHB genes cause mitochondrial trifunctional protein deficiency. ",,,,"Infants with this disorder are also at high risk for serious heart problems, breathing difficulties, coma, and sudden death.",,
"N-acetylglutamate synthase deficiency",,https://ghr.nlm.nih.gov/condition/n-acetylglutamate-synthase-deficiency,,Coma,"An inherited disorder that causes ammonia to accumulate in the blood. May become evident in the first few days of life. Some babies with this disorder may experience seizures or unusual body movements, or go into a coma. In some affected individuals, signs and symptoms of N-acetylglutamate synthase deficiency are less severe, and do not appear until later in life. Some people with this form of the disorder cannot tolerate high-protein foods such as meat. They may experience sudden episodes of ammonia toxicity, resulting in coma, in response to illness or other stress.","Mutations in the NAGS gene cause N-acetylglutamate synthase deficiency.",,,,,,
"Neurohypophyseal diabetes insipidus",,https://ghr.nlm.nih.gov/condition/neurohypophyseal-diabetes-insipidus,,Coma,"People with neurohypophyseal diabetes insipidus can quickly become dehydrated if they do not drink enough water. Dehydration can lead to constipation and dry skin. If the disorder is not treated, more serious complications of dehydration can occur. These include coma.","Mutations in the AVP gene result in progressive damage to the brain cells where ADH is produced. These cells ultimately die, causing a shortage of ADH. Without this hormone, the kidneys do not reabsorb water as they should, and the body makes excessive amounts of urine. ",,,,,,
"Ornithine transcarbamylase deficiency",,https://ghr.nlm.nih.gov/condition/ornithine-transcarbamylase-deficiency,,Coma,"An inherited disorder that causes ammonia to accumulate in the blood.An infant with the neonatal-onset form of ornithine transcarbamylase deficiency may be lacking in energy (lethargic) or unwilling to eat, and have a poorly-controlled breathing rate or body temperature. Infants with this disorder may be described as ""floppy"" and can experience seizures or coma. ","Mutations in the OTC gene cause ornithine transcarbamylase deficiency",,,,,,
"Ornithine translocase deficiency",,https://ghr.nlm.nih.gov/condition/ornithine-translocase-deficiency,,Coma,"Ornithine translocase deficiency varies widely in its severity and age of onset. An infant with ornithine translocase deficiency may be lacking in energy (lethargic) or refuse to eat, or have poorly controlled breathing or body temperature. Some babies with this disorder may experience seizures or unusual body movements, or go into a coma. ","Mutations in the SLC25A15 gene result in a mitochondrial ornithine transporter that is unstable or the wrong shape, and which cannot bring ornithine to the mitochondrial matrix. This failure of ornithine transport causes an interruption of the urea cycle and the accumulation of ammonia, ",,,,,,
Preeclampsia,,https://ghr.nlm.nih.gov/condition/preeclampsia,,Coma,"A complication of pregnancy in which affected women develop high blood pressure (hypertension); they can also have abnormally high levels of protein in their urine (proteinuria). This condition usually occurs in the last few months of pregnancy and often requires early delivery of the infant.In many cases, symptoms of preeclampsia go away within a few days after the baby is born. In severe cases, however, preeclampsia can damage the mother's organs, such as the heart, liver, and kidneys, and can lead to life-threatening complications. Extremely high blood pressure in the mother can cause bleeding in the brain (hemorrhagic stroke). The effects of high blood pressure on the brain (hypertensive encephalopathy) may also result in seizures. If seizures occur, the condition is considered to have worsened to eclampsia, which can result in coma. ","The specific causes of preeclampsia are not well understood. In pregnancy, blood volume normally increases to support the fetus, and the mother's body must adjust to handle this extra fluid. In some women the body does not react normally to the fluid changes of pregnancy, leading to the signs and symptoms of preeclampsia.",,,,,,
"Primary carnitine deficiency",,https://ghr.nlm.nih.gov/condition/primary-carnitine-deficiency,,"Sudden death AND coma","Primary carnitine deficiency is a condition that prevents the body from using certain fats for energy, particularly during periods without food (fasting). Carnitine, a natural substance acquired mostly through the diet, is used by cells to process fats and produce energy.All individuals with this disorder are at risk for heart failure, liver problems, coma, and sudden death.","Mutations in the SLC22A5 gene cause primary carnitine deficiency.",,,,"All individuals with this disorder are at risk for heart failure, liver problems, coma, and sudden death.",,
"Progressive familial heart block",,https://ghr.nlm.nih.gov/condition/progressive-familial-heart-block,,"Syncope, sudden cardiac arrest, and death","Complete heart block can cause fainting (syncope), or sudden cardiac arrest and death.","Mutations in the SCN5A and TRPM4 genes cause most cases of progressive familial heart block types IA and IB, respectively. The SCN5A and TRPM4 gene mutations that cause progressive familial heart block alter the normal function of the channels. As a result of these channel alterations, cardiac cells have difficulty producing and transmitting the electrical signals that are necessary to coordinate normal heartbeats, leading to heart block. Death of these impaired cardiac cells over time can lead to fibrosis, worsening the heart block.Mutations in other genes (GJA5, SCN1B), some of which are unknown, account for the remaining cases of progressive familial heart block.",,,,,,
"Propionic acidemia",,https://ghr.nlm.nih.gov/condition/propionic-acidemia,,"Coma and death","An inherited disorder in which the body is unable to process certain parts of proteins and lipids (fats) properly. It is classified as an organic acid disorder, which is a condition that leads to an abnormal buildup of particular acids known as organic acids. In most cases, the features of propionic acidemia become apparent within a few days after birth. The initial symptoms include poor feeding, vomiting, loss of appetite, weak muscle tone (hypotonia), and lack of energy (lethargy). These symptoms sometimes progress to more serious medical problems, including heart abnormalities, seizures, coma, and possibly death","Mutations in the PCCA or PCCB gene disrupt the function of the enzyme and prevent the normal breakdown of these molecules. As a result, a substance called propionyl-CoA and other potentially harmful compounds can build up to toxic levels in the body. This buildup damages the brain and nervous system, causing the serious health problems associated with propionic acidemia.",,,,,,
"Pyruvate carboxylase deficiency",,https://ghr.nlm.nih.gov/condition/pyruvate-carboxylase-deficiency,,"Coma and death","Pyruvate carboxylase deficiency type B has life-threatening signs and symptoms that become apparent shortly after birth. This form of the condition has been reported mostly in Europe, particularly France. Affected infants have severe lactic acidosis, a buildup of ammonia in the blood (hyperammonemia), and liver failure. They experience neurological problems including weak muscle tone (hypotonia), abnormal movements, seizures, and coma. Infants with this form of the condition usually survive for less than 3 months after birth.","Mutations in the PC gene reduce the amount of pyruvate carboxylase in cells or disrupt the enzyme's activity. The missing or altered enzyme cannot carry out its essential role in generating glucose, which impairs the body's ability to make energy in mitochondria. Additionally, a loss of pyruvate carboxylase allows compounds such as lactic acid and ammonia to build up and damage organs and tissues. Researchers suggest that the loss of pyruvate carboxylase function in the nervous system, particularly the role of the enzyme in myelin formation and neurotransmitter production, also contributes to the neurologic features of pyruvate carboxylase deficiency.",,,,,,
"Romano-Ward syndrome",,https://ghr.nlm.nih.gov/condition/romano-ward-syndrome,,"Syncope, Cardiac arrest, Sudden death","A condition that causes a disruption of the heart's normal rhythm (arrhythmia). The arrhythmia associated with Romano-Ward syndrome can lead to fainting (syncope) or cardiac arrest and sudden death. However, some people with Romano-Ward syndrome never experience any health problems associated with the condition.","Mutations in the KCNQ1, KCNH2, and SCN5A genes are the most common causes of Romano-Ward syndrome. Mutations in other genes (AKAP, CALM, CALM, CAV3, KCNJ, SCN4n, and SNTA1 involved in ion transport can also cause Romano-Ward syndrome; each of these additional genes is associated with a very small percentage of cases.",,,,"The arrhythmia associated with Romano-Ward syndrome can lead to fainting (syncope) or cardiac arrest and sudden death. However, some people with Romano-Ward syndrome never experience any health problems associated with the condition.",,
"Short/branched chain acyl-CoA dehydrogenase deficiency",,https://ghr.nlm.nih.gov/condition/short-branched-chain-acyl-coa-dehydrogenase-deficiency,,Coma,"A small percentage of affected individuals develop signs and symptoms of the condition, which can begin soon after birth or later in childhood. The initial symptoms often include poor feeding, lack of energy (lethargy), vomiting, and irritability. These symptoms sometimes progress to serious health problems such as difficulty breathing, seizures, and coma","Mutations in the ACADSB gene reduce or eliminate the activity of this enzyme. With a shortage (deficiency) of SBCAD activity, the body is unable to break down isoleucine properly. Researchers speculate that some features of this disorder, such as lethargy and muscle weakness, occur because isoleucine is not converted to energy. In addition, impairment of SBCAD may allow the buildup of toxic compounds, which can lead to serious health problems.",,,,,,
"Short QT syndrome",,https://ghr.nlm.nih.gov/condition/short-qt-syndrome,,"Syncope, Cardiac arrest, sudden death, SIDS","Short QT syndrome is a condition that can cause a disruption of the heart's normal rhythm (arrhythmia). If untreated, the arrhythmia associated with short QT syndrome can lead to a variety of signs and symptoms, from dizziness and fainting (syncope) to cardiac arrest and sudden death. These signs and symptoms can occur any time from early infancy to old age. This condition may explain some cases of sudden infant death syndrome (SIDS), which is a major cause of unexplained death in babies younger than 1 year. However, some people with short QT syndrome never experience any health problems associated with the condition.","Mutations in the KCNH2, KCNJ2, and KCNQ1 genes can cause short QT syndrome. Some affected individuals do not have an identified mutation in the KCNH2, KCNJ2, or KCNQ1 gene. Changes in other genes that have not been identified may cause the disorder in these cases.",,,,"If untreated, the arrhythmia associated with short QT syndrome can lead to a variety of signs and symptoms, from dizziness and fainting (syncope) to cardiac arrest and sudden death. These signs and symptoms can occur any time from early infancy to old age.",,
"Sick sinus syndrome",,https://ghr.nlm.nih.gov/condition/sick-sinus-syndrome,,"Syncope, heart failure, cardiac arrest","Symptoms related to abnormal heartbeats can include dizziness, light-headedness, fainting (syncope). Sick sinus syndrome occurs most commonly in older adults, although it can be diagnosed in people of any age. The condition increases the risk of several life-threatening problems involving the heart and blood vessels. These include a heart rhythm abnormality called heart failure, cardiac arrest, and stroke.","Genetic changes are an uncommon cause of sick sinus syndrome. Mutations in two genes, SCN5A and HCN4, have been found to cause the condition in a small number of families. A particular variation in another gene, MYH6, appears to increase the risk of developing sick sinus syndrome.",,,,,,
Sitosterolemia,,https://ghr.nlm.nih.gov/condition/sitosterolemia,,"Sudden death","Sitosterolemia is a condition in which fatty substances (lipids) from vegetable oils, nuts, and other plant-based foods accumulate in the blood and tissues. These lipids are called plant sterols (or phytosterols). Sitosterol is one of several plant sterols that accumulate in this disorder, with a blood level 30 to 100 times greater than normal. In people with sitosterolemia, accumulation of fatty deposits in arteries (atherosclerosis) can occur as early as childhood. These deposits narrow the arteries and can eventually block blood flow, increasing the chance of a heart attack, stroke, or sudden death.","Sitosterolemia is caused by mutations in the ABCG5 or ABCG8 gene. ",,,,"In people with sitosterolemia, accumulation of fatty deposits in arteries (atherosclerosis) can occur as early as childhood. These deposits narrow the arteries and can eventually block blood flow, increasing the chance of a heart attack, stroke, or sudden death.",,
"Sporadic hemiplegic migraine",,https://ghr.nlm.nih.gov/condition/sporadic-hemiplegic-migraine,,Coma,"Some people with sporadic hemiplegic migraine experience unusually severe migraine episodes. These episodes can include fever, prolonged weakness, seizures, and coma. ","Mutations in the ATP1A2 and CACNA1A genes disrupt the transport of ions in neurons, which is thought to impair the normal release and uptake of certain neurotransmitters in the brain. The resulting abnormal signaling may lead to the severe headaches and auras characteristic of sporadic hemiplegic migraine.",,,,,,
"Succinyl-CoA:3-ketoacid CoA transferase deficiency",,https://ghr.nlm.nih.gov/condition/succinyl-coa3-ketoacid-coa-transferase-deficiency,,Coma,"The signs and symptoms of SCOT deficiency typically appear within the first few years of life. Affected individuals experience episodes of extreme tiredness (lethargy), appetite loss, vomiting, rapid breathing, and, occasionally, seizures. These episodes, which are called ketoacidotic attacks, sometimes lead to coma. About half of affected individuals have a ketoacidotic attack within the first 4 days of life. Affected individuals have no symptoms of the disorder between ketoacidotic attacks.","OXCT1 gene mutations result in the production of a SCOT enzyme with little or no function. A reduction in the amount of functional enzyme leads to an inability to break down ketones, resulting in decreased energy production and an elevated level of ketones in the blood. If these signs become severe, a ketoacidotic attack can occur. Individuals with mutations that create an enzyme with partial function are still prone to ketoacidotic attacks, but are less likely to have persistent ketosis.",,,,,,
"Timothy syndrome",,https://ghr.nlm.nih.gov/condition/timothy-syndrome,,"Sudden death","Timothy syndrome is characterized by a heart condition called long QT syndrome, which causes the heart (cardiac) muscle to take longer than usual to recharge between beats. This abnormality in the heart's electrical system can cause irregular heartbeats (arrhythmia), which can lead to sudden death. Researchers have identified two forms of Timothy syndrome. Type 2, or the atypical type, causes a more severe form of long QT syndrome and a greater risk of arrhythmia and sudden death.","Mutations in the CACNA1C gene",,,,"Abnormality in the heart's electrical system can cause irregular heartbeats (arrhythmia), which can lead to sudden death.",,
"Type 1 diabetes",,https://ghr.nlm.nih.gov/condition/type-1-diabetes,,"Coma and death","In severe cases, diabetic ketoacidosis can lead to coma and death.","Type 1 diabetes is generally considered to be an autoimmune disorder. Autoimmune disorders occur when the immune system attacks the body's own tissues and organs. For unknown reasons, in people with type 1 diabetes the immune system damages the insulin-producing beta cells in the pancreas. Damage to these cells impairs insulin production and leads to the signs and symptoms of type 1 diabetes.The risk of developing type 1 diabetes is increased by certain variants of the HLA-DQA1, HLA-DQB1, and HLA-DRB1 genes. These genes provide instructions for making proteins that play a critical role in the immune system. The HLA-DQA1, HLA-DQB1, and HLA-DRB1 genes belong to a family of genes called the human leukocyte antigen (HLA) complex. The HLA complex helps the immune system distinguish the body's own proteins from proteins made by foreign invaders such as viruses and bacteria. Also other identified (CCR5, CTLA4, FOXP3, HLA-DQA1, HLA-DQB1, HLA-DRB1, HNF1A, IL2RA, IL6, INS, ITPR3, OAS1, PTPN22, SUMO)",,,,,,
"Wolff-Parkinson-White syndrome",,https://ghr.nlm.nih.gov/condition/wolff-parkinson-white-syndrome,,"Syncope, Cardiac arrest, Sudden death","Resulting symptoms include dizziness, a sensation of fluttering or pounding in the chest (palpitations), shortness of breath, and fainting (syncope). In rare cases, arrhythmias associated with Wolff-Parkinson-White syndrome can lead to cardiac arrest and sudden death. ","In most cases, the cause of Wolff-Parkinson-White syndrome is unknown. A small percentage of all cases are caused by mutations in the PRKAG2 gene.",,,,"In rare cases, arrhythmias associated with Wolff-Parkinson-White syndrome can lead to cardiac arrest and sudden death. ",,
"X-linked adrenoleukodystrophy",,https://ghr.nlm.nih.gov/condition/x-linked-adrenoleukodystrophy,,Coma,"X-linked adrenoleukodystrophy is a genetic disorder that occurs primarily in males. It mainly affects the nervous system and the adrenal glands, which are small glands located on top of each kidney. In this disorder, the fatty covering (myelin) that insulates nerves in the brain and spinal cord is prone to deterioration (demyelination), which reduces the ability of the nerves to relay information to the brain. In addition, damage to the outer layer of the adrenal glands (adrenal cortex) causes a shortage of certain hormones (adrenocortical insufficiency). Adrenocortical insufficiency may cause weakness, weight loss, skin changes, vomiting, and coma.","ABCD1 gene mutations result in a shortage (deficiency) of ALDP. When this protein is lacking, the transport and subsequent breakdown of VLCFAs is disrupted, causing abnormally high levels of these fats in the body. The accumulation of VLCFAs may be toxic to the adrenal cortex and myelin. Research suggests that the accumulation of VLCFAs triggers an inflammatory response in the brain, which could lead to the breakdown of myelin. ",,,,,,
"X-linked cardiac valvular dysplasia",,https://ghr.nlm.nih.gov/condition/x-linked-cardiac-valvular-dysplasia,,"Sudden death","X-linked cardiac valvular dysplasia is a condition characterized by the abnormal development (dysplasia) of heart (cardiac) valves. Other rare complications of X-linked cardiac valvular dysplasia include inflammation of the inner lining of the heart (endocarditis), abnormal blood clots, or sudden death.","Caused by mutations in the FLNA gene",,,,"Other rare complications of X-linked cardiac valvular dysplasia include inflammation of the inner lining of the heart (endocarditis), abnormal blood clots, or sudden death.",,
