Name1,GHR-webpage1,frequency1,Description1,,Related-gene-list1,,,Synonym-list1,Db-key-list1,key1,reviewed1,published,,,,
,,"people. It is more common in people of East Asian descent, especially those of",,,,,,"Bietti crystalline corneoretinal dystrophy",GTR,C1859486,,,,,,
,,"Chinese and Japanese background. Researchers suggest that Bietti crystalline",,,,,,"Bietti crystalline retinopathy",db,key,,,,,,
,,"dystrophy may be underdiagnosed because its symptoms are similar to those of",,,,,,"Bietti tapetoretinal degeneration with marginal corneal dystrophy",GeneReviews,bietti-cd,,,,,,
,,"other eye disorders that progressively damage the retina.",html:p,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D012162,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,210370,,,,,,
,,,,,,,,,db,key,,,,,,
,,,html:p,,,,,,Orphanet,41751,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",312927001,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Biotin-thiamine-responsive basal ganglia disease",https://ghr.nlm.nih.gov/condition/biotin-thiamine-responsive-basal-ganglia-disea,"Biotin-thiamine-responsive basal ganglia disease is a rare disorder; its",html:p,"autosomal recessive",,SLC19A3,https://ghr.nlm.nih.gov/gene/SLC19A3,BBGD,db,key,2014-01,2017-12-29,,,,
,se,"prevalence is unknown. Approximately 48 cases have been reported in the medical",,,,,,"biotin-responsive basal ganglia disease",GTR,C1843807,,,,,,
,,"literature; most of these are individuals from Arab populations.",,,,,,BTBGD,db,key,,,,,,
,,,,,,,,"thiamine metabolism dysfunction syndrome 2",GeneReviews,bgd-biotin,,,,,,
,,,,,,,,"thiamine-responsive encephalopathy",db,key,,,,,,
,,,,,,,,"thiamine transporter-2 deficiency",MeSH,D001480,,,,,,
,,,,,,,,THMD2,db,key,,,,,,
,,,,,,,,,OMIM,607483,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",703522009,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Biotinidase deficiency",https://ghr.nlm.nih.gov/condition/biotinidase-deficiency,"Profound or partial biotinidase deficiency occurs in approximately 1 in",html:p,"autosomal recessive",,BTD,https://ghr.nlm.nih.gov/gene/BTD,BIOT,db,key,2014-12,2017-12-29,,,,
,,"60,000 newborns",,,,,,"BTD deficiency",GTR,C0220754,,,,,,
,,,,,,,,"carboxylase deficiency, multiple, late-onset",db,key,,,,,,
,,,,,,,,"late-onset biotin-responsive multiple carboxylase deficiency",GeneReviews,biotin,,,,,,
,,,html:p,,,,,"late-onset multiple carboxylase deficiency",db,key,,,,,,
,,,,,,,,"multiple carboxylase deficiency, late-onset",ICD-10-CM,D81.810,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D028921,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,253260,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,148,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",8808004,,,,,,
,,,,,synonym-list,,db-key-list,,,,,,,,,
" disorder",https://ghr.nlm.nih.gov/condition/-disorder," disorder is a common form of mental illness. At some point during",html:p,"pattern unknown",synonym," affective psychosis",,key,2017-12-29,,,,,,,
,,"their lifetime, 2.4 percent of people worldwide and 4.4 percent of people in the",,,synonym," spectrum disorder",db-key,C1839839,,,,,,,,
,,"United States are diagnosed with this condition.",,,synonym,", ",,key,,,,,,,,
,,,html:p,,synonym,"manic  illness",db-key,C1852197,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,C1864994,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,C1970943,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,C1970944,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,C1970945,,,,,,,,
,,,html:p,,,,,key,,,,,,,,
,,,,,,,db-key,C2700438,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,C2700439,,,,,,,,
,,,html:p,,,,,key,,,,,,,,
,,,,,,,db-key,C2700440,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.0,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.1,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.2,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.3,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.4,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.5,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.6,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.7,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.8,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.9,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.10,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.11,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.12,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.13,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.30,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.31,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.32,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.60,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.61,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.62,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.63,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.64,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.70,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.71,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.72,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.73,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.74,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.75,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.76,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.77,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.78,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.81,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,F31.89,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,D001714,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,125480,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,309200,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,609633,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,611247,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,611535,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,611536,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,612357,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,612371,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,,,db-key,612372,,,,,,,,
,,,,,,,,key,,,,,,,,
,,,,,related-gene-list,,,13746004,,,,,,,,
"Birt-Hogg-Dubé syndrome",https://ghr.nlm.nih.gov/condition/birt-hogg-dube-syndrome,"Birt-Hogg-Dubé syndrome is rare; its exact incidence is unknown. This",html:p,"autosomal dominant",,FLCN,https://ghr.nlm.nih.gov/gene/FLCN,BHD,db,key,2013-01,2017-12-29,,,,
,,"condition has been reported in more than 400 families.",,,,,,"fibrofolliculomas with trichodiscomas and acrochordons",GTR,C0346010,,,,,,
,,,,,,,,"Hornstein-Birt-Hogg-Dubé syndrome",db,key,,,,,,
,,,html:p,,,,,"Hornstein-Knickenberg syndrome",GeneReviews,bhd,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D058249,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,135150,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,122,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",110985001,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Björnstad syndrome",https://ghr.nlm.nih.gov/condition/bjornstad-syndrome,"Björnstad syndrome is a rare condition, although its prevalence is unknown.",html:p,"autosomal recessive",,BCS1L,https://ghr.nlm.nih.gov/gene/BCS1L,"Bjornstad syndrome",db,key,2014-03,2017-12-29,,,,
,,"It has been found in populations worldwide.",,,,,,BJS,GTR,C0266006,,,,,,
,,,,,,,,"deafness and pili torti, Bjornstad type",db,key,,,,,,
,,,,,,,,"pili torti and nerve deafness",MeSH,D028361,,,,,,
,,,,,,,,"pili torti-deafness syndrome",db,key,,,,,,
,,,,,,,,"pili torti-sensorineural hearing loss",OMIM,262000,,,,,,
,,,,,,,,PTD,db,key,,,,,,
,,,,,,,,,Orphanet,123,,,,,,
,,,,,,,,,db,key,,,,,,
,,,html:p,,,,,,Orphanet,2889,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",67817003,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Bladder cancer",https://ghr.nlm.nih.gov/condition/bladder-cancer,"In the United States, bladder cancer is the fourth most common type of",html:p,"not inherited",,FGFR3,https://ghr.nlm.nih.gov/gene/FGFR3,"Cancer of the bladder",db,key,2007-01,2017-12-29,,,,
,,"cancer in men and the ninth most common cancer in women. About 45,000 men and",,,related-gene,gene-symbol,ghr-page,"Malignant tumor of urinary bladder",GTR,C0005684,,,,,,
,,"17,000 women are diagnosed with bladder cancer each year.",,,,HRAS,https://ghr.nlm.nih.gov/gene/HRAS,"Urinary bladder cancer",db,key,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,ICD-10-CM,C67,,,,,,
,,,,,,RB1,https://ghr.nlm.nih.gov/gene/RB1,,db,key,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,ICD-10-CM,C67.0,,,,,,
,,,html:p,,,TP53,https://ghr.nlm.nih.gov/gene/TP53,,db,key,,,,,,
,,,,,related-gene,gene-symbol,ghr-page,,ICD-10-CM,C67.1,,,,,,
,,,,,,TSC1,https://ghr.nlm.nih.gov/gene/TSC1,,db,key,,,,,,
,,,,,related-chromosome,name,ghr-page,,ICD-10-CM,C67.2,,,,,,
,,,,,,9,https://ghr.nlm.nih.gov/chromosome/9,,db,key,,,,,,
,,,,,,,,,ICD-10-CM,C67.3,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,ICD-10-CM,C67.4,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,ICD-10-CM,C67.5,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,ICD-10-CM,C67.6,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,ICD-10-CM,C67.7,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,ICD-10-CM,C67.8,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,ICD-10-CM,C67.9,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,ICD-10-CM,D09.0,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D001749,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,109800,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,157980,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",126885006,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",255108000,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,related-gene-list,,,,"SNOMED CT",399326009,,,,,,
"Blau syndrome",https://ghr.nlm.nih.gov/condition/blau-syndrome,"Although Blau syndrome appears to be uncommon, its prevalence is unknown.",html:p,"autosomal dominant",,NOD2,https://ghr.nlm.nih.gov/gene/NOD2,"arthrocutaneouveal granulomatosis",db,key,2017-12,2017-12-29,,,,
,,,,,,,,"early-onset sarcoidosis",GTR,C1836122,,,,,,
,,,html:p,,,,,"familial granulomatosis, Blau type",db,key,,,,,,
,,,,,,,,"familial juvenile systemic granulomatosis",GTR,C1861303,,,,,,
,,,,,,,,"granulomatous inflammatory arthritis, dermatitis, and uveitis, familial",db,key,,,,,,
,,,,,,,,"pediatric granulomatous arthritis",MeSH,D012507,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,186580,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,90340,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",699861000,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Blepharocheilodontic syndrome",https://ghr.nlm.nih.gov/condition/blepharocheilodontic-syndrome,"BCD syndrome is a rare disorder; its prevalence is unknown. At least 50",html:p,"autosomal dominant",,CDH1,https://ghr.nlm.nih.gov/gene/CDH1,"BCD syndrome",db,key,2017-08,2017-12-29,,,,
,,"affected individuals have been described in the medical literature.",,,related-gene,gene-symbol,ghr-page,BCDS,MeSH,D000015,,,,,,
,,,,,,CTNND1,https://ghr.nlm.nih.gov/gene/CTNND1,"blepharo-cheilo-dontic syndrome",db,key,,,,,,
,,,html:p,,,,,"blepharo-cheilo-odontic syndrome",OMIM,119580,,,,,,
,,,,,,,,"clefting, ectropion, and conical teeth",db,key,,,,,,
,,,,,,,,"ectropion, inferior, with cleft lip and/or palate","SNOMED CT",717911008,,,,,,
,,,,,,,,"Elschnig syndrome",,,,,,,,
,,,,,,,,"lagophthalmia with bilateral cleft lip and palate",,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Blepharophimosis, ptosis, and epicanthus inversus syndrome",https://ghr.nlm.nih.gov/condition/blepharophimosis-ptosis-and-epicanthus-inversu,"The prevalence of BPES is unknown.",html:p,"autosomal dominant",,FOXL2,https://ghr.nlm.nih.gov/gene/FOXL2,"blepharophimosis syndrome",db,key,2013-10,2017-12-29,,,,
,s-syndrome,,,,,,,"blepharophimosis, ptosis, and epicanthus inversus",GTR,C0220663,,,,,,
,,,,,,,,BPES,db,key,,,,,,
,,,,,,,,,GeneReviews,bpes,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D005141,,,,,,
,,,,,,,,,db,key,,,,,,
,,,html:p,,,,,,OMIM,110100,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,126,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",79833006,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Bloom syndrome",https://ghr.nlm.nih.gov/condition/bloom-syndrome,"Bloom syndrome is a rare disorder. Only a few hundred affected individuals",html:p,"autosomal recessive",,BLM,https://ghr.nlm.nih.gov/gene/BLM,"Bloom-Torre-Machacek syndrome",db,key,2015-04,2017-12-29,,,,
,,"have been described in the medical literature, about one-third of whom are of",,,,,,"Bloom's syndrome",GTR,C0005859,,,,,,
,,"Central and Eastern European (Ashkenazi) Jewish background.",,,,,,"congenital telangiectatic erythema",db,key,,,,,,
,,,html:p,,,,,,GeneReviews,bloom,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D001816,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,210900,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,125,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",4434006,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Bohring-Opitz syndrome",https://ghr.nlm.nih.gov/condition/bohring-opitz-syndrome,"Bohring-Opitz syndrome is thought to be a rare condition, although its",html:p,"autosomal dominant",,ASXL1,https://ghr.nlm.nih.gov/gene/ASXL1,"Bohring syndrome",db,key,2016-12,2017-12-29,,,,
,,"exact prevalence is unknown. More than 40 affected individuals have been",,,,,,BOPS,GTR,C0796232,,,,,,
,,"described in the scientific literature.",html:p,,,,,"C-like syndrome",db,key,,,,,,
,,,,,,,,"Oberklaid-Danks syndrome",MeSH,D003398,,,,,,
,,,,,,,,"Opitz trigonocephaly-like syndrome",db,key,,,,,,
,,,,,,,,,MeSH,D008607,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,605039,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,97297,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",720565000,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Boomerang dysplasia",https://ghr.nlm.nih.gov/condition/boomerang-dysplasia,"Boomerang dysplasia is a rare disorder; its exact prevalence is unknown.",html:p,"autosomal dominant",,FLNB,https://ghr.nlm.nih.gov/gene/FLNB,"Piepkorn dysplasia",db,key,2011-09,2017-12-29,,,,
,,"Approximately 10 affected individuals have been identified.",,,,,,,GTR,C0432201,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,GeneReviews,flnb-dis,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,MeSH,D010009,,,,,,
,,,,,,,,,db,key,,,,,,
,,,html:p,,,,,,OMIM,112310,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,1263,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",254054000,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Bosma arhinia microphthalmia syndrome",https://ghr.nlm.nih.gov/condition/bosma-arhinia-microphthalmia-syndrome,"BAMS is a very rare condition with an unknown prevalence. Fewer than 100",html:p,"autosomal dominant",,SMCHD1,https://ghr.nlm.nih.gov/gene/SMCHD1,"arhinia choanal atresia microphthalmia",db,key,2017-07,2017-12-29,,,,
,,"cases of the condition have been described in the medical literature. BAMS has",,,,,,"arhinia, choanal atresia, and microphthalmia",GTR,C1863878,,,,,,
,,"been found in several different populations.",html:p,,,,,"arhinia, choanal atresia, microphthalmia, and hypogonadotropic hypogonadism",db,key,,,,,,
,,,,,,,,"BAM syndrome",MeSH,D000015,,,,,,
,,,,,,,,BAMS,db,key,,,,,,
,,,,,,,,"Bosma syndrome",OMIM,603457,,,,,,
,,,,,,,,"Gifford-Bosma syndrome",db,key,,,,,,
,,,,,,,,"Ruprecht Majewski syndrome",Orphanet,1135,,,,,,
,,,html:p,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",720511000,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,related-gene-list,,,,,,,,,,
"Boucher-Neuhäuser syndrome",https://ghr.nlm.nih.gov/condition/boucher-neuhauser-syndrome,"Boucher-Neuhäuser syndrome is a rare condition. Its prevalence is unknown.",html:p,ar,"autosomal recessive",,PNPLA6,synonym,db-key,db,key,2016-10,2017-12-29,,,
,,,,,,,,synonym,,GTR,C1859093,,,,,
,,,,,,,,synonym,db-key,db,key,,,,,
,,,,,,,,synonym,,GeneReviews,pnpla6-dis,,,,,
,,,,,,,,synonym,db-key,db,key,,,,,
,,,,,,,,,,MeSH,D052439,,,,,
,,,html:p,,,,,synonym,db-key,db,key,,,,,
,,,,,,,,,,OMIM,215470,,,,,
,,,,,,,,,db-key,db,key,,,,,
,,,,,,,,,,Orphanet,1180,,,,,
,,,html:p,,,,,,db-key,db,key,,,,,
,,,,,,,,,,"SNOMED CT",715984007,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
"Bowen-Conradi syndrome",https://ghr.nlm.nih.gov/condition/bowen-conradi-syndrome,"Bowen-Conradi syndrome is common in the Hutterite population in Canada and",html:p,"autosomal recessive",,EMG1,https://ghr.nlm.nih.gov/gene/EMG1,"Bowen-Conradi Hutterite syndrome",db,key,2015-02,2017-12-29,,,,
,,"the United States; it occurs in approximately 1 per 355 newborns in all three",,,,,,"Bowen Hutterite syndrome",GTR,C1859405,,,,,,
,,"Hutterite sects (leuts). A few individuals from outside the Hutterite community",,,,,,"Bowen syndrome, Hutterite type",db,key,,,,,,
,,"with signs and symptoms similar to Bowen-Conradi syndrome have been described in",,,,,,BWCNS,MeSH,D000015,,,,,,
,,"the medical literature. Researchers differ as to whether these individuals have",,,,,,"Hutterite syndrome",db,key,,,,,,
,,"Bowen-Conradi syndrome or a similar but distinct disorder.",,,,,,,OMIM,211180,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,Orphanet,1270,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",711153001,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,html:p,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,related-gene-list,,,,,,,,,,,
Bradyopsia,https://ghr.nlm.nih.gov/condition/bradyopsia,"Bradyopsia appears to be rare. Only a few affected individuals worldwide",html:p,"autosomal recessive",,RGS9,https://ghr.nlm.nih.gov/gene/RGS9,PERRS,db,key,2014-11,2017-12-29,,,,
,,"have been described in the medical literature.",,,related-gene,gene-symbol,ghr-page,"prolonged electroretinal response suppression",GTR,C1842073,,,,,,
,,,,,,RGS9BP,https://ghr.nlm.nih.gov/gene/RGS9BP,,db,key,,,,,,
,,,,,,,,,MeSH,D015785,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,OMIM,608415,,,,,,
,,,,,,,,,db,key,,,,,,
,,,html:p,,,,,,Orphanet,75374,,,,,,
,,,,,,,,,db,key,,,,,,
,,,,,,,,,"SNOMED CT",711163009,,,,,,
