Face,"a flat or sunken appearance of the middle of the face (midface hypoplasia); round face; hypoplastic midface; long, narrow face; unusual facial features; narrow forehead; underdevelopment of one side of the upper or lower jaw (maxillary or mandibular hypoplasia); malar hypoplasia; mandibullar hypoplasia (micrognathia);  very small lower jaw (micrognathia); distinctive facial feature; a swollen, rounded cheek; developmental abnormalities involving face; painful bumps or blisters on the face; underdevelopment of the facial bones that  may restrict an affected infant's airway causing potentially life-threatening respiratory problem; subtle differences in facial features; a high (front) hairline; broad eyebrows, wide-set eyes (hypertelorism); widely-spaced eyes (hypertelorism); narrowing of the eye opening (blepharophimosis); prominent forehead; broad, prominent forehead (frontal bossing); outside corners of the eyes that point downward (downslanting palpebral fissures);  long eyelashes; a broad nasal bridge; a full lower lip; a long, smooth space between the upper lip and nose (philtrum); narrow space between the nose and upper lip (short philtrum); low-set ears; prominent ears; large ears; minor ear abnormality; malformed ears; cleft lip; cleft palate; deep-set eyes; straight eyebrows; droopy eyelids (ptosis); broad, flat nose; malformed nose; pointed chin; small, pointed chin; sharp, rounded nasal tips; broad nose tips; broad nasal bridge; early beard growth; long, narrow head; flat nasal bridge; high bridge of the nose; full eyebrows; prominent mouth; full lips; open mouth with an upper lip that points outward (tented lips); upturned nose with a fleshy tip; small jaw (micrognathia); abnormally pale appearance (pallor);  vertical skin creases; upward- or downward-slanting eyes; short nose; widow's peak hairline; small chin; milia on the face; upslanting or downslanting palpebral fissures);  thin upper lip; prominent nasal bridge; rounded eyebrows; protruding jaw; sloping forehead; closely spaced eyes (hypotelorism); protruding chin (prognathism); widely spaced eyes (ocular hypertelorism); underdeveloped upper jaw;   tend to develop acne;  look older than their age; droopy cheeks; square-shaped face; broad forehead; prominent cheeks; facial asymmetry; ",,,
Nose,"small nose; bulbous nose with upturned nostrils;  a flat nose with an upturned tips; large ears; sparse eyebrows; flattened bridge of the nose; upturned nostrils; beaked nose; nasal congestion; short and broad nose; upturned nose with a grooved tip; underdeveloped nose; ",,,
Mouth,"problems with the development of the roof of the mouth (palate); problems with development of the oral cavit; cleft lip; cleft palate; high, arched roof of the mouth (palate); high arch of the hard palate at the roof of the mouth; prominent mouth; full lips; unusually large tongue (macroglossia); a small mouth with thick lips; overgrown gums; large tongue; upper lip is shaped like an upside-down ""V""; lower lip tends to be prominent; full lips; unusually small mouth (microstomia); lips and the inside lining of the mouth can also be unusually dark; ",,,
"Teeth/ dental problems","thin enamel on the teeth (enamel hypoplasia); teeth to be unusually small, discolored, pitted or grooved,  and prone to rapid wear and breakage; small or missing teeth; premature tooth los; dentinogenesis imperfecta; dental abnormalities; delayed appearance of the primary (baby) or secondary (adult) teeth; crowded and/or misaligned teeth; multiple cavities?; eruption of primary teeth; widely spaced teeth; have fewer teeth than normal (hypodontia); malformed teeth; missing teeth; crowded teeth; primary (baby) teeth do not fall out at the usual time during childhood but are retained as the adult teeth grow in; ",,,
"Eyes abnormalities","underdevelopment of the region at the back of the eye responsible for sharp central vision (foveal hypoplasia); narrowing of the eye opening (blepharophimosis), droopy eyelids (ptosis), and an upward fold of the skin of the lower eyelid near the inner corner of the eye (epicanthus inversus), unusually small eyeballs (microphthalmia),(anophthalmia), a gap or split in structures that make up the eyes (coloboma) or blockage of the tear ducts (nasolacrimal duct stenosis, impair vision; abnormal eye development, including missing eyebrows or eyelashes or a patch of hair extending from the side hairline to the eyebrow; highly arched eyebrows; abnormal development of retina: immature retinal cells accumulating at the back of the eye; cloudy cornea (opaque) which causes blurred vision; Progressive vision loss; eyes problems that impair vision: eyes that do not point in the same direction (strabismus); underdevelopment of the optic nerves; vision problems; eye problems such as clouding of the lenses (cataracts);  optic atrophy degeneration (atrophy) of nerve cells that carry visual information from the eyes to the brain; skin folds covering the inner corner of the eyes (epicanthal folds); yellowing of the whites of the eyes (jaundice);  progressive degeneration of the light-sensitive layer (retina) at the back of the eye which can cause vision loss.(retinitis pigmentosa);  small opaque spots; areas of tissue degeneration (atrophy) around the edges of the retina;  partial or total absence of color vision; increased sensitivity to light and glare (photophobia); significantly reduced sharpness of vision (low visual acuity); farsightedness (hyperopia); nearsightedness (myopia); sharply defined eyebrows; Eye abnormality; Vision abnormality; farsightedness (hyperopia); buildup of yellowish deposits called drusen beneath the retina; growth of abnormal, fragile blood vessels underneath the macula; central vision appear blurry and distorted; defects in the light-sensitive tissue at the back of the eye, retina (chorioretinal lacunae); small or poorly developed eyes (microphthalmia); blindness; yellowish tinges in the whites of the eyes (jaundice); involuntary eye movements (nystagmus); vision loss; retinitis pigmentosa which cause vision loss; misshapen lenses in the eyes (anterior lenticonus); abnormal coloration of retina; progressive loss of vision; difficulty following movements with the eyes (gaze palsy); complete or partial absence of the colored part of the eye (the iris); pupils to be abnormal or misshapen; reduction in the sharpness of vision (visual acuity);  increased sensitivity to light (photophobia); Increased pressure in the eye (glaucoma); Clouding of the lens of the eye (cataracts); strands of tissue partially or completely fuse the upper and lower eyelids (ankyloblepharon filiforme adnatum); bulging and wide-set eyes; oculogyric crises; miosis; cone-shaped and abnormally thin cornea (keratoconus); retinal dystrophy; weakness of the external muscles of the eye (ophthalmoplegia);  involuntary back-and-forth eye movements (nystagmus);  difficult to move their eyes side-to-side, have to turn their head to see things in their side (peripheral) vision (oculomotor apraxia); uveitis; difficulty seeing and distinguishing objects in low light (night blindness); microcornea; shallow anterior chamber; white spots on the retina; colored part of the eye (the iris), may be thin or poorly developed; pupil that is off-center (corectopia); extra holes in the iris that can look like multiple pupils (polycoria); ",,,
Ears,"hearing loss (from birth or progressive); hearing problem; sensorineural hearing loss; abnormally shaped ears; unusually shaped ears; ear canal hypoplasia; Abnormal development of the ears and lower jaw (mandible);abnormality called a ""question-mark ear"" in which the ears have a distinctive question-mark shape caused by a split that separates the upper part of the ear from the earlobe; cupped ear; ears with fewer fold; narrow ear canal; small skin tags in front of or behind the ears; ears that are rotated backward; low-set ears; large ears; ear infections; deafness; tinnitus; sensorineural hearing loss; small ears; malformed outer ears; ears with fewer folds and grooves than usual (simple ears); narrow ear canals; sensorineural deafness; ",,,
Neck,"abnormal development of the second branchial arch forming masses in the neck called branchial cleft cysts; painful bumps or blisters on the neck; short, broad neck",,,
Back,"painful bumps or blisters on the back; outgrowth of the tailbone (caudal appendage)",,,
"Brain abnormalities","cerebellum and the pons hypoplasia; underdevelopment of the tissue connecting the left and right halves of the brain (corpus callosum hypoplasia);  Absence (agenesis) or malformation of the tissue connecting the left and right halves of the brain (corpus callosum); cerebellar hypoplasia; brain dysfunction (encephalopathy); increased pressure within the skull (intracranial pressure); developmental abnormalities involving the skull; development of a noncancerous tumor in the pituitary gland (pituitary adenoma); brain having a smooth appearance with fewer folds and grooves (lissencephaly); impaired brain developmen; patchy white matter abnormalities (lesions) in the brain; brain structure abnormalities; cerebrum abnormalities; developing bulges in blood vessel walls (aneurysms) in the brain; white matter brain tissue damage ((leukoencephalopathy); accumulate 3-methylglutaconic acid in their body fluids; abnormal fusion of certain bones in the skulls (craniosynostosis); reduced production of myelin or delayed maturation of myelin. Myelin is the protective covering that insulates nerves and ensures the rapid transmission of nerve impulse; premature fusion of certain bones in the skull (metopic craniosynostosis); buildup of fluid in the brain (hydrocephalus); Iron accumulation in the brain; agenesis of the corpus callosum;  growth of large cysts in brain tissue; swelling (edema), bleeding (hemorrhage), and then tissue death (necrosis) of brain region;  permanent brain damage; permanent loss of brain tissue; spheroids in the axons of the brain (axon damage); abnormally pigmented glial cells; damage to myelin; loss of white matter (leukodystrophy);  (calcification) in the brain; agenesis or dysgenesis of the corpus callosum; asymmetry between the two sides of the brain; brain folds and grooves that are small in size or reduced in number, cysts; enlargement of the fluid-filled cavities (ventricles) near the center of the brain; enlarged brain and head size (megalencephaly); abnormal protein deposits known as Rosenthal fibers; decreased brain function;  missing large parts of the brain; dysmetria; organic brain syndrome; ",,,
"neurological problems","underdevelopment of the nerves that carry information from the eyes to the brain (optic nerve hypoplasia); development of swellings called spheroid bodies in the axons, the fibers that extend from nerve cells (neurons); optic atrophy degeneration (atrophy) of nerve cells that carry visual information from the eyes to the brain;  neurological problems; damage to myeline; unable to walk, speak, and look after themselves; peripheral neuropathy; a gap or hole (coloboma) in the optic nerve; myelin deteriorates; reduced sensation in their arms and legs (peripheral neuropathy); damages of the nerves used for muscle movement and sensation (motor and sensory neuropathy); abnormal function of certain cranial nerves; hearing loss (from birth or progressive); hearing problem; sensorineural hearing loss; abnormally shaped ears; unusually shaped ears; ear canal hypoplasia; Abnormal development of the ears and lower jaw (mandible);abnormality called a ""question-mark ear,"" in which the ears have a distinctive question-mark shape caused by a split that separates the upper part of the ear from the earlobe; cupped ear; ears with fewer fold; narrow ear canal; small skin tags in front of or behind the ears; ears that are rotated backward; low-set ears; large ears; ear infections; deafness; tinnitus; sensorineural hearing loss; motor neuropathy: disturbance in the nerves used for muscle movemen; disturbances in nerve function (neuropathy); numbness, tingling, or pain in the arms and legs (sensory neropathy); twitching of the nerves and muscles (neuromuscular irritability); nephrocalcinosis; neuromyotonia; ",,,
"Sex Organ","hypoplasia of the labia majora; genital hypoplasia; scrotum hypoplasia; secondary development of sexual characteristic; genital abnormalities: genital agenesiu; abnormal male genitalia; small penis (micropenis);  opening of the urethra on the underside of the penis (hypospadias); scrotum divided into two lobes (bifid scrotum); external genital abnormalities;  ambiguous genitali; Abnormalities of the genitalia and urinary tract (genitourinary abnormalities) (genitourinary anomalies); small external genital; undescended testes (cryptorchidism),ie testis located in the abdomen (undescended); small testes; abnormal development of the ovaries (polycystic ovaries); abnormal development of the ovaries (ovarian dysgenesis; abnormal development of the Müllerian ducts, which are structures in the embryo that develop into the uterus, fallopian tubes, cervix, and the upper part of the vagin; underdeveloped or absent uterus and may also have abnormalities of other reproductive organ; unusual breast development (gynecomastia); lack of development of the gonads; development of female secondary sex characteristic; underdevelopment of reproductive organs, including the uterus and ovaries; no developmnt of secondary sex characteristics, such as breasts and pubic hair; do not menstruate (amenorrhea); irregular menstruation; infertile; no female internal reproductive organs; breast enlargement (gynecomastia) in male during adolescent; underdevelopment or absence of the vagina; underdevelopment or absence of uterus; urinary system abnormality; scrotum surround the penis instead of hanging below (shawl scrotum); male internal sex organs (testes) that are undescended; do not develop secondary sexual characteristics, such as breast growth and menstrual periods; decreased sex drive; abnormal sperm production; increased breast growth (macromastia); irregular menstrual period; premature ovarian failure; erectile dysfunction; early loss of ovarian function (primary ovarian insufficiency); ",,,
"Ethnic/ family group","Gaza in Arab; Iceland; Siberia; Dominican Republic, Papua New Guinea, Turkey; Egypt; Japan; Hungary; Switzerland; White; African American;  Netherlands; Belgium; Africa; Mediterranean countries, Africa, the Middle East, India, and Central Asia; Southeast Asia; northern Sweden; United States; Old Order Amish population of Pennsylvania;  Chamorro people of Guam and people from the Kii Peninsula of Japan; French-Canadian population of the Saguenay-Lac-St.-Jean and Charlevoix regions of northeastern Quebec; Taiwan; Finland; Portugal; Iranian Jews; Sardinians; Finns; Beauce and Bas-Saint-Laurent regions of Quebec, Canada; northern Pakistan; Charlevoix-Saguenay region of Quebec; Japan, Turkey, Tunisia, Spain, Italy, and Belgium",,,
Gendar,"Female; Male",,,
,,,,
,,,,
"Skeletal abnormality: Joints, bones",,,,
,,,,
,,,,
,,,,
"Usefaul term:  Physical abnormality; intellectual abnormality; cognitive abnormality eg intellectual disability; behavioural abnormality; ",,,,
